block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[-0.2],[-0.5],1,-0.5,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,[0.2],[0.5],1,0.5,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",0,"[0, -1]",0,1,[-0.2],[-0.5],1,-0.5,0.0,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.2],[0.5],1,0.5,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.43)]",0,"[np.float64(0.2), np.float64(-0.37000000000000005)]",0,1,[-0.32],[-0.3],2,-0.08500000000000002,0.0,-0.43
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.47), np.float64(0.0)]",0,"[np.float64(0.33000000000000007), np.float64(-0.2)]",0,1,[0.32],[0.3],2,0.06500000000000003,0.47,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.47)]",0,"[np.float64(0.2), np.float64(-0.33000000000000007)]",0,1,[-0.32],[-0.3],2,-0.06500000000000003,0.0,-0.47
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.43), np.float64(0.0)]",0,"[np.float64(0.37000000000000005), np.float64(-0.2)]",0,1,[0.32],[0.3],2,0.08500000000000002,0.43,0.0
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.5891), np.float64(-0.094)]",0,"[np.float64(-0.9091), np.float64(-0.226)]",0,1,[0.192],[-0.32],3,-0.56755,0.5891,-0.094
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.6119), np.float64(-0.094)]",0,"[np.float64(0.06809999999999994), np.float64(-0.226)]",0,1,[0.392],[0.18],3,-0.07895000000000003,0.6119,-0.094
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.19818699999999995), np.float64(-0.20022)]",0,"[np.float64(-0.39018699999999995), np.float64(0.008220000000000005)]",0,1,[0.1152],[-0.192],4,-0.19098349999999997,0.19818699999999995,-0.20022
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.08600000000000001), np.float64(-0.6039)]",0,"[np.float64(0.23399999999999999), np.float64(-0.07609999999999995)]",0,1,[-0.392],[-0.18],3,0.07895000000000002,0.08600000000000001,-0.6039
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.18662), np.float64(-0.639667)]",0,"[np.float64(0.20538), np.float64(0.031667)]",0,1,[-0.4352],[-0.108],4,0.1185235,0.18662,-0.639667
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.08600000000000001), np.float64(-0.6251)]",0,"[np.float64(0.23399999999999999), np.float64(0.9451)]",0,1,[-0.192],[0.32],3,0.58955,0.08600000000000001,-0.6251
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.18662), np.float64(-0.18090299999999998)]",0,"[np.float64(0.005379999999999996), np.float64(0.372903)]",0,1,[-0.1152],[0.192],4,0.1891415,0.18662,-0.18090299999999998
