block_number,trial_number,state_id,stim_id,action,w_values
0,76416,State CG,CG,0,"[np.float64(-0.0824278167205251), np.float64(0.08374455015983437)]"
0,76417,State CD,CD,0,"[np.float64(-0.0824278167205251), np.float64(-0.917572183279475)]"
0,76418,State AH,AH,0,"[np.float64(0.04460312399273561), np.float64(-0.9162554498401656)]"
0,76419,State CN,CN,1,"[np.float64(-0.0824278167205251), np.float64(0.49)]"
0,76420,State AD,AD,0,"[np.float64(0.04460312399273561), np.float64(-0.917572183279475)]"
0,76421,State AE,AE,0,"[np.float64(0.04460312399273561), np.float64(-0.3126304484136688)]"
0,76422,State CE,CE,0,"[np.float64(-0.0824278167205251), np.float64(-0.3126304484136688)]"
0,76423,State CE,CE,0,"[np.float64(-0.0824278167205251), np.float64(-0.3126304484136688)]"
0,76424,State EN,EN,1,"[np.float64(-0.3126304484136688), np.float64(0.49)]"
0,76425,State DF,DF,0,"[np.float64(-0.917572183279475), np.float64(-0.6873695515863312)]"
0,76426,State EF,EF,0,"[np.float64(-0.3126304484136688), np.float64(-0.6873695515863312)]"
0,76427,State AE,AE,0,"[np.float64(0.04460312399273561), np.float64(-0.3126304484136688)]"
0,76428,State EF,EF,0,"[np.float64(-0.3126304484136688), np.float64(-0.6873695515863312)]"
0,76429,State HN,HN,1,"[np.float64(-0.9162554498401656), np.float64(0.49)]"
0,76430,State DG,DG,1,"[np.float64(-0.917572183279475), np.float64(0.08374455015983437)]"
0,76431,State BF,BF,1,"[np.float64(-0.9553968760072644), np.float64(-0.6873695515863312)]"
0,76432,State CE,CE,0,"[np.float64(-0.0824278167205251), np.float64(-0.3126304484136688)]"
0,76433,State CN,CN,1,"[np.float64(-0.0824278167205251), np.float64(0.49)]"
0,76434,State DF,DF,1,"[np.float64(-0.917572183279475), np.float64(-0.6873695515863312)]"
0,76435,State BH,BH,0,"[np.float64(-0.9553968760072644), np.float64(-0.9162554498401656)]"
0,76436,State CE,CE,0,"[np.float64(-0.0824278167205251), np.float64(-0.3126304484136688)]"
0,76437,State DH,DH,1,"[np.float64(-0.917572183279475), np.float64(-0.9162554498401656)]"
0,76438,State EN,EN,1,"[np.float64(-0.3126304484136688), np.float64(0.49)]"
0,76439,State GF,GF,0,"[np.float64(0.08374455015983437), np.float64(-0.6873695515863312)]"
0,76440,State CG,CG,1,"[np.float64(-0.0824278167205251), np.float64(0.08374455015983437)]"
0,76441,State EN,EN,1,"[np.float64(-0.3126304484136688), np.float64(0.49)]"
0,76442,State AH,AH,0,"[np.float64(0.04460312399273561), np.float64(-0.9162554498401656)]"
0,76443,State DN,DN,1,"[np.float64(-0.917572183279475), np.float64(0.49)]"
0,76444,State BG,BG,1,"[np.float64(-0.9553968760072644), np.float64(0.08374455015983437)]"
0,76445,State CN,CN,1,"[np.float64(-0.0824278167205251), np.float64(0.49)]"
0,76446,State CG,CG,1,"[np.float64(-0.0824278167205251), np.float64(0.08374455015983437)]"
0,76447,State GF,GF,0,"[np.float64(0.08374455015983437), np.float64(-0.6873695515863312)]"
0,76448,State AF,AF,0,"[np.float64(0.04460312399273561), np.float64(-0.6873695515863312)]"
0,76449,State CD,CD,0,"[np.float64(-0.0824278167205251), np.float64(-0.917572183279475)]"
0,76450,State EF,EF,0,"[np.float64(-0.3126304484136688), np.float64(-0.6873695515863312)]"
0,76451,State EH,EH,0,"[np.float64(-0.3126304484136688), np.float64(-0.9162554498401656)]"
