block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[np.float64(0.945), np.float64(-0.055)]",0,0,1,0.44499999999999995,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.055), np.float64(-0.945)]",0,1,1,-0.44499999999999995,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[np.float64(0.89), np.float64(0.89)]",0,0,1,0.89,0.0,0.0
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.055), np.float64(-0.945)]",0,1,1,-0.44499999999999995,0.0,0.0
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.4914), np.float64(-0.05115)]",0,"[np.float64(0.45359999999999995), np.float64(-0.0038499999999999993)]",0,1,2,0.22487499999999996,0.4914,-0.05115
0,2,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.46280000000000004), np.float64(0.8277000000000001)]",1,"[np.float64(-0.5178), np.float64(0.11729999999999985)]",0,0,2,-0.2002500000000001,0.46280000000000004,0.8277000000000001
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.05115), np.float64(-0.4914)]",1,"[np.float64(-0.94115), np.float64(-0.3986)]",0,0,2,-0.669875,0.05115,-0.4914
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.05115), np.float64(-0.4914)]",0,"[np.float64(0.0038499999999999993), np.float64(-0.45359999999999995)]",0,1,2,-0.22487499999999996,0.05115,-0.4914
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.9132480000000001), np.float64(-0.053152)]",0,"[np.float64(0.03175199999999989), np.float64(-0.0018480000000000024)]",0,1,3,0.014951999999999945,0.9132480000000001,-0.053152
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.94277736), np.float64(-0.05411296)]",0,"[np.float64(-0.052777359999999995), np.float64(0.94411296)]",0,1,4,0.4456678,0.94277736,-0.05411296
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0547305), np.float64(-0.7272719999999999)]",0,"[np.float64(0.0002694999999999989), np.float64(-0.21772800000000003)]",0,1,3,-0.10872925000000001,0.0547305,-0.7272719999999999
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.054981135), np.float64(-0.8404905599999999)]",0,"[np.float64(-0.054981135), np.float64(0.8404905599999999)]",0,1,4,0.39275471249999994,0.054981135,-0.8404905599999999
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.4382480000000001), np.float64(-0.862098)]",0,"[np.float64(0.4932480000000001), np.float64(-0.08290199999999992)]",0,1,3,0.20517300000000008,-0.4382480000000001,-0.862098
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.020472639999999986), np.float64(-0.90520704)]",0,"[np.float64(-0.91047264), np.float64(0.01520703999999995)]",0,1,4,-0.44763280000000005,0.020472639999999986,-0.90520704
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.193544), np.float64(0.936789)]",1,"[np.float64(0.7514559999999999), np.float64(-0.991789)]",0,0,3,-0.12016650000000006,0.193544,0.936789
0,4,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.5843011199999999), np.float64(0.014425229999999956)]",0,"[np.float64(0.3056988800000001), np.float64(0.8755747700000001)]",0,1,4,0.590636825,0.5843011199999999,0.014425229999999956
0,5,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.8936944152), np.float64(0.43682577920000004)]",0,"[np.float64(0.051305584799999915), np.float64(-0.49182577920000004)]",0,1,5,-0.22026009720000006,0.8936944152,0.43682577920000004
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.0038486794499999963), np.float64(-0.4034354687999999)]",0,"[np.float64(-0.89384867945), np.float64(-0.4865645312000001)]",0,1,5,-0.690206605325,0.0038486794499999963,-0.4034354687999999
0,6,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.9414086090639999), np.float64(0.18107637401600002)]",0,"[np.float64(0.0035913909360000273), np.float64(-0.236076374016)]",0,1,6,-0.11624249153999999,0.9414086090639999,0.18107637401600002
0,6,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.8274305924385), np.float64(-0.656449025024)]",1,"[np.float64(0.8824305924385001), np.float64(-0.2885509749759999)]",0,0,6,0.2969398087312501,-0.8274305924385,-0.656449025024
0,5,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.8686010784), np.float64(0.4697241104)]",0,"[np.float64(0.02139892160000001), np.float64(0.4202758896)]",0,1,5,0.2208374056,0.8686010784,0.4697241104
0,5,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(-0.8262669152000002), np.float64(-0.8972993792)]",1,"[np.float64(-0.11873308479999978), np.float64(0.9522993792000001)]",0,0,5,0.41678314720000015,-0.8262669152000002,-0.8972993792
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.8880081192960001), np.float64(-0.0116609565439999)]",1,"[np.float64(0.9430081192960001), np.float64(-0.933339043456)]",0,0,6,0.004834537920000048,-0.8880081192960001,-0.0116609565439999
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.888502075488), np.float64(0.688267572992)]",1,"[np.float64(-0.888502075488), np.float64(-0.688267572992)]",0,0,6,-0.78838482424,0.888502075488,0.688267572992
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.39764389726208), np.float64(-0.87966626695808)]",0,"[np.float64(-0.49235610273792), np.float64(-0.010333733041919979)]",0,1,7,-0.25134491788991997,-0.39764389726208,-0.87966626695808
0,7,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.9447486026344799), np.float64(0.058316659527680004)]",0,"[np.float64(-0.9447486026344799), np.float64(-0.058316659527680004)]",0,1,7,-0.5015326310810799,0.9447486026344799,0.058316659527680004
0,8,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.8555350728083456), np.float64(-0.8850398081398784)]",0,"[np.float64(-0.03446492719165439), np.float64(-0.004960191860121643)]",0,1,8,-0.019712559525888018,-0.8555350728083456,-0.8850398081398784
0,7,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(0.42648099623423996), np.float64(0.04817873010943996)]",0,"[np.float64(-0.48148099623423996), np.float64(0.89682126989056)]",0,1,7,0.20767013682816002,0.42648099623423996,0.04817873010943996
0,7,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.36856668437047996), np.float64(-0.92480143175168)]",0,"[np.float64(0.42356668437047995), np.float64(-0.020198568248320004)]",0,1,7,0.20168405806107997,-0.36856668437047996,-0.92480143175168
0,8,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.06613240218441352), np.float64(0.0279919965732864)]",1,"[np.float64(0.8238675978155865), np.float64(0.8620080034267136)]",0,0,8,0.8429378006211501,0.06613240218441352,0.0279919965732864
0,8,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.025350332094066397), np.float64(-0.9353046872408064)]",0,"[np.float64(0.029649667905933604), np.float64(-0.009695312759193553)]",0,1,8,0.009977177573370025,0.025350332094066397,-0.9353046872408064
0,8,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(-0.021296330263603225), np.float64(0.5145257904525311)]",1,"[np.float64(0.9112963302636032), np.float64(0.3754742095474689)]",0,0,8,0.643385269905536,-0.021296330263603225,0.5145257904525311
0,9,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.45257776147347045), np.float64(0.8637168053316773)]",1,"[np.float64(0.4924222385265295), np.float64(-0.9187168053316773)]",0,0,9,-0.2131472834025739,0.45257776147347045,0.8637168053316773
0,9,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4945435530485185), np.float64(0.8296594397601301)]",1,"[np.float64(0.45045644695148146), np.float64(-0.8846594397601302)]",0,0,9,-0.21710149640432436,0.4945435530485185,0.8296594397601301
0,9,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.05292452324658465), np.float64(-0.940346249875587)]",0,"[np.float64(0.0020754767534153507), np.float64(-0.0046537501244129365)]",0,1,9,-0.001289136685498793,0.05292452324658465,-0.940346249875587
0,10,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7287809054632889), np.float64(0.006926160783209068)]",0,"[np.float64(0.16121909453671113), np.float64(0.883073839216791)]",0,1,10,0.522146466876751,0.7287809054632889,0.006926160783209068
0,9,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.8875874550965842), np.float64(-0.8876191079071416)]",0,"[np.float64(0.9425874550965843), np.float64(-0.05738089209285835)]",0,1,9,0.44260328150186296,-0.8875874550965842,-0.8876191079071416
0,10,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.7086373255072658), np.float64(0.009310176373217294)]",0,"[np.float64(0.18136267449273424), np.float64(0.8806898236267827)]",0,1,10,0.5310262490597585,0.7086373255072658,0.009310176373217294
0,10,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.05485471662726093), np.float64(-0.9427661999402818)]",0,"[np.float64(-0.944854716627261), np.float64(0.052766199940281755)]",0,1,10,-0.4460442583434896,0.05485471662726093,-0.9427661999402818
0,10,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.010981121856760812), np.float64(-0.917457171795428)]",0,"[np.float64(0.0659811218567608), np.float64(-0.02754282820457199)]",0,1,10,0.019219146826094408,-0.010981121856760812,-0.917457171795428
0,11,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.8238601698360918), np.float64(-0.9153277759713353)]",0,"[np.float64(0.8238601698360918), np.float64(0.9153277759713353)]",0,1,11,0.8695939729037135,-0.8238601698360918,-0.9153277759713353
0,11,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.8773046127855086), np.float64(0.46726888465914435)]",0,"[np.float64(0.06769538721449131), np.float64(-0.5222688846591443)]",0,1,11,-0.22728674872232651,0.8773046127855086,0.46726888465914435
0,12,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(-0.05767021188852639), np.float64(-0.4393573324662409)]",0,"[np.float64(0.11267021188852638), np.float64(-0.5056426675337591)]",0,1,12,-0.19648622782261635,-0.05767021188852639,-0.4393573324662409
0,11,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.05038132147002674), np.float64(-0.9317794424618054)]",0,"[np.float64(-0.9403813214700267), np.float64(0.04177944246180543)]",0,1,11,-0.44930093950411065,0.05038132147002674,-0.9317794424618054
