group,QLearning+novel,ActorCritic+novel,Relative+novel,Advantage+novel,Hybrid2012+novel
acute pain,11.32075472,18.86792453,5.660377358,13.20754717,50.94339623
chronic pain,14.1025641,15.38461538,15.38461538,19.23076923,35.8974359
no pain,21.2962963,17.59259259,12.96296296,9.259259259,38.88888889
full,16.73640167,17.15481172,12.13389121,13.38912134,40.58577406
