block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[np.float64(0.31999999999999995), np.float64(0.31999999999999995)]",0,0,[0.68],[1.],1,0.31999999999999995,0.0,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[np.float64(0.6599999999999999), np.float64(-0.34)]",0,0,[0.34],[0.5],1,0.15999999999999995,0.0,0.0
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[np.float64(-0.31999999999999995), np.float64(-0.31999999999999995)]",0,0,[-0.68],[-1.],1,-0.31999999999999995,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.23999999999999996), np.float64(-0.19839999999999997)]",1,"[np.float64(0.13760000000000003), np.float64(0.09600000000000003)]",0,0,[-0.8976],[-0.32],2,0.11680000000000003,-0.23999999999999996,-0.19839999999999997
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.49499999999999994), np.float64(-0.21080000000000002)]",0,"[np.float64(0.05619999999999997), np.float64(-0.23800000000000002)]",0,1,[0.4488],[0.16],2,-0.09090000000000002,0.49499999999999994,-0.21080000000000002
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",1,"[np.float64(0.34), np.float64(-0.6599999999999999)]",0,0,[-0.34],[-0.5],1,-0.15999999999999995,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.255), np.float64(-0.40919999999999995)]",0,"[np.float64(0.19380000000000003), np.float64(-0.14199999999999996)]",0,1,[-0.4488],[-0.16],2,0.025900000000000034,0.255,-0.40919999999999995
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.23999999999999996), np.float64(0.19839999999999997)]",1,"[np.float64(-0.13760000000000003), np.float64(-0.09600000000000003)]",0,0,[0.8976],[0.32],2,-0.11680000000000003,0.23999999999999996,0.19839999999999997
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.5298439999999999), np.float64(-0.38930000000000003)]",0,"[np.float64(-0.013459999999999916), np.float64(-0.09431599999999996)]",0,1,[0.483616],[0.0512],3,-0.053887999999999936,0.5298439999999999,-0.38930000000000003
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.13679999999999995), np.float64(0.13887999999999995)]",1,"[np.float64(0.23596800000000004), np.float64(-0.7661119999999999)]",0,0,[0.627232],[-0.3976],3,-0.2650719999999999,0.13679999999999995,0.13887999999999995
