block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]",1,"[0, 1]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[0, -1]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]",1,"[np.float64(-0.2), np.float64(0.8)]",0,0,[0.01851852 0.98148148],[np.float64(0.2)],2,0.30000000000000004,0.018518518518518517,0.9814814814814815
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.2), np.float64(-0.8)]",0,1,[ 0.01923077 -0.98076923],[np.float64(-0.2)],2,-0.30000000000000004,0.019230769230769232,-0.9807692307692307
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,1,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[1, 1]",0,1,"[0.01, 0.01]",[0],1,1.0,0.01,0.01
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.01136364 -0.98863636],[np.float64(0.0)],2,-0.5,0.011363636363636364,-0.9886363636363636
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.8), np.float64(0.8)]",0,0,[0.37323944 0.62676056],[np.float64(0.2)],2,0.8,0.37323943661971837,0.6267605633802817
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[ 0.00604449 -0.99395551],[np.float64(0.0)],3,-1.0,0.0060444874274661504,-0.9939555125725338
0,3,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.6399999999999999), np.float64(0.6399999999999999)]",0,1,[0.50813181 0.49186819],[np.float64(0.36000000000000004)],3,0.6399999999999999,0.5081318097262822,0.49186819027371786
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.8), np.float64(-0.8)]",0,1,[-0.21523227 -0.78476773],[np.float64(-0.2)],4,-0.8,-0.21523227086792762,-0.7847677291320724
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.84), np.float64(-0.84)]",0,1,[ 0.06815861 -0.93184139],[np.float64(-0.16)],3,-0.84,0.06815861130020423,-0.9318413886997957
