block_number,trial_number,state_id,stim_id,action,w_values
0,66196,State GF,GF,0,"[np.float64(0.08450535776643525), np.float64(-0.6954218936973403)]"
0,66197,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66198,State HN,HN,1,"[np.float64(-0.9154946422335647), np.float64(0.19)]"
0,66199,State AF,AF,0,"[np.float64(0.6848782974694025), np.float64(-0.6954218936973403)]"
0,66200,State AG,AG,0,"[np.float64(0.6848782974694025), np.float64(0.08450535776643525)]"
0,66201,State AB,AB,0,"[np.float64(0.6848782974694025), np.float64(-0.31512170253059735)]"
0,66202,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66203,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66204,State DE,DE,1,"[np.float64(-0.8937370421703543), np.float64(0.3045781063026597)]"
0,66205,State BE,BE,1,"[np.float64(-0.31512170253059735), np.float64(0.3045781063026597)]"
0,66206,State FN,FN,1,"[np.float64(-0.6954218936973403), np.float64(0.19)]"
0,66207,State AN,AN,0,"[np.float64(0.6848782974694025), np.float64(0.19)]"
0,66208,State EH,EH,0,"[np.float64(0.3045781063026597), np.float64(-0.9154946422335647)]"
0,66209,State DE,DE,1,"[np.float64(-0.8937370421703543), np.float64(0.3045781063026597)]"
0,66210,State AG,AG,0,"[np.float64(0.6848782974694025), np.float64(0.08450535776643525)]"
0,66211,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66212,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66213,State CH,CH,0,"[np.float64(0.10626295782964569), np.float64(-0.9154946422335647)]"
0,66214,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66215,State BG,BG,1,"[np.float64(-0.31512170253059735), np.float64(0.08450535776643525)]"
0,66216,State EN,EN,1,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66217,State EN,EN,1,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66218,State AD,AD,0,"[np.float64(0.6848782974694025), np.float64(-0.8937370421703543)]"
0,66219,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66220,State DE,DE,1,"[np.float64(-0.8937370421703543), np.float64(0.3045781063026597)]"
0,66221,State DH,DH,0,"[np.float64(-0.8937370421703543), np.float64(-0.9154946422335647)]"
0,66222,State DF,DF,0,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66223,State AE,AE,0,"[np.float64(0.6848782974694025), np.float64(0.3045781063026597)]"
0,66224,State DF,DF,1,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66225,State AF,AF,0,"[np.float64(0.6848782974694025), np.float64(-0.6954218936973403)]"
0,66226,State DF,DF,1,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66227,State DF,DF,0,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66228,State AF,AF,0,"[np.float64(0.6848782974694025), np.float64(-0.6954218936973403)]"
0,66229,State CG,CG,1,"[np.float64(0.10626295782964569), np.float64(0.08450535776643525)]"
0,66230,State BH,BH,0,"[np.float64(-0.31512170253059735), np.float64(-0.9154946422335647)]"
0,66231,State AG,AG,0,"[np.float64(0.6848782974694025), np.float64(0.08450535776643525)]"
0,66232,State BH,BH,0,"[np.float64(-0.31512170253059735), np.float64(-0.9154946422335647)]"
0,66233,State EF,EF,0,"[np.float64(0.3045781063026597), np.float64(-0.6954218936973403)]"
0,66234,State AN,AN,0,"[np.float64(0.6848782974694025), np.float64(0.19)]"
0,66235,State BN,BN,1,"[np.float64(-0.31512170253059735), np.float64(0.19)]"
0,66236,State EH,EH,0,"[np.float64(0.3045781063026597), np.float64(-0.9154946422335647)]"
0,66237,State CF,CF,0,"[np.float64(0.10626295782964569), np.float64(-0.6954218936973403)]"
0,66238,State EN,EN,0,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66239,State FN,FN,1,"[np.float64(-0.6954218936973403), np.float64(0.19)]"
0,66240,State EN,EN,0,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66241,State BG,BG,1,"[np.float64(-0.31512170253059735), np.float64(0.08450535776643525)]"
0,66242,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66243,State CD,CD,0,"[np.float64(0.10626295782964569), np.float64(-0.8937370421703543)]"
0,66244,State EF,EF,0,"[np.float64(0.3045781063026597), np.float64(-0.6954218936973403)]"
0,66245,State CG,CG,1,"[np.float64(0.10626295782964569), np.float64(0.08450535776643525)]"
0,66246,State EN,EN,0,"[np.float64(0.3045781063026597), np.float64(0.19)]"
0,66247,State CF,CF,0,"[np.float64(0.10626295782964569), np.float64(-0.6954218936973403)]"
0,66248,State AG,AG,0,"[np.float64(0.6848782974694025), np.float64(0.08450535776643525)]"
0,66249,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66250,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66251,State AD,AD,0,"[np.float64(0.6848782974694025), np.float64(-0.8937370421703543)]"
0,66252,State FN,FN,1,"[np.float64(-0.6954218936973403), np.float64(0.19)]"
0,66253,State AD,AD,0,"[np.float64(0.6848782974694025), np.float64(-0.8937370421703543)]"
0,66254,State DH,DH,1,"[np.float64(-0.8937370421703543), np.float64(-0.9154946422335647)]"
0,66255,State HN,HN,1,"[np.float64(-0.9154946422335647), np.float64(0.19)]"
0,66256,State DH,DH,0,"[np.float64(-0.8937370421703543), np.float64(-0.9154946422335647)]"
0,66257,State DE,DE,1,"[np.float64(-0.8937370421703543), np.float64(0.3045781063026597)]"
0,66258,State AH,AH,0,"[np.float64(0.6848782974694025), np.float64(-0.9154946422335647)]"
0,66259,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66260,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66261,State GF,GF,0,"[np.float64(0.08450535776643525), np.float64(-0.6954218936973403)]"
0,66262,State EH,EH,0,"[np.float64(0.3045781063026597), np.float64(-0.9154946422335647)]"
0,66263,State AB,AB,0,"[np.float64(0.6848782974694025), np.float64(-0.31512170253059735)]"
0,66264,State DN,DN,1,"[np.float64(-0.8937370421703543), np.float64(0.19)]"
0,66265,State AF,AF,0,"[np.float64(0.6848782974694025), np.float64(-0.6954218936973403)]"
0,66266,State BF,BF,0,"[np.float64(-0.31512170253059735), np.float64(-0.6954218936973403)]"
0,66267,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66268,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66269,State BH,BH,0,"[np.float64(-0.31512170253059735), np.float64(-0.9154946422335647)]"
0,66270,State GN,GN,1,"[np.float64(0.08450535776643525), np.float64(0.19)]"
0,66271,State EH,EH,0,"[np.float64(0.3045781063026597), np.float64(-0.9154946422335647)]"
0,66272,State GH,GH,0,"[np.float64(0.08450535776643525), np.float64(-0.9154946422335647)]"
0,66273,State DF,DF,0,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66274,State DF,DF,1,"[np.float64(-0.8937370421703543), np.float64(-0.6954218936973403)]"
0,66275,State BE,BE,1,"[np.float64(-0.31512170253059735), np.float64(0.3045781063026597)]"
0,66276,State BE,BE,1,"[np.float64(-0.31512170253059735), np.float64(0.3045781063026597)]"
0,66277,State BN,BN,1,"[np.float64(-0.31512170253059735), np.float64(0.19)]"
0,66278,State CE,CE,1,"[np.float64(0.10626295782964569), np.float64(0.3045781063026597)]"
0,66279,State CN,CN,0,"[np.float64(0.10626295782964569), np.float64(0.19)]"
0,66280,State DG,DG,1,"[np.float64(-0.8937370421703543), np.float64(0.08450535776643525)]"
0,66281,State AF,AF,0,"[np.float64(0.6848782974694025), np.float64(-0.6954218936973403)]"
0,66282,State AD,AD,0,"[np.float64(0.6848782974694025), np.float64(-0.8937370421703543)]"
0,66283,State DN,DN,1,"[np.float64(-0.8937370421703543), np.float64(0.19)]"
