,QLearning+novel,ActorCritic+novel,Relative+novel,Hybrid2012+bias+novel,Hybrid2021+bias+decay+novel,best_model
chronic pain,380.0752030405585,381.3301903466388,338.11991769626184,330.5579844821277,331.4236457113101,Hybrid2012+bias+novel
acute pain,408.9652234107284,415.4815549313247,369.1597615065013,368.82687170039594,363.9100001315301,Hybrid2021+bias+decay+novel
no pain,356.62927533522344,367.98953079295813,330.7395700103167,321.5240036996716,324.5743909080105,Hybrid2012+bias+novel
full,377.87258417885494,384.3940621776559,342.77536978816977,336.3233839257552,336.64104381959686,Hybrid2012+bias+novel
