,QLearning+novel,ActorCritic+novel,Relative+novel,Hybrid2012+bias+novel,Hybrid2021+bias+decay+novel,best_model
chronic pain,396.7703474561664,402.19912086614846,358.9888482157715,368.12205941724517,377.33529285423134,Relative+novel
acute pain,425.660367826336,436.35048545083424,390.028692026011,406.39094663551344,409.82164727445127,Relative+novel
no pain,373.3244197508312,388.85846131246774,351.60850052982636,359.0880786347889,370.48603805093194,Relative+novel
full,394.5677285944627,405.2629926971656,363.6443003076795,373.88745886087264,382.55269096251817,Relative+novel
