block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",1,"[0, -1]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[1, 0]",0,1,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.17), np.float64(-0.83)]",0,1,[ 0.01449275 -0.98550725],[np.float64(-0.17)],2,-0.32999999999999996,0.014492753623188408,-0.9855072463768115
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[1, 0]",0,1,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]",1,"[-1, 0]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.0), np.float64(-1.0)]",0,0,[-0.98795181  0.01204819],[np.float64(0.0)],2,-0.5,-0.9879518072289156,0.012048192771084338
0,2,0,State CD,"['D', 'C']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]",0,"[np.float64(-0.17), np.float64(0.83)]",0,1,[0.98591549 0.01408451],[np.float64(0.17)],2,0.32999999999999996,0.9859154929577465,0.014084507042253521
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.17), np.float64(-0.17)]",0,1,[0.98591549 0.01408451],[np.float64(0.17)],2,-0.17,0.9859154929577465,0.014084507042253521
0,3,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.8589), np.float64(-0.8589)]",0,1,[ 0.07296687 -0.92703313],[np.float64(-0.1411)],3,-0.8589,0.07296686614062031,-0.9270331338593797
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.8589), np.float64(-0.1411)]",0,1,[ 0.87242714 -0.12757286],[np.float64(0.1411)],3,0.3589,0.872427139417568,-0.12757286058243197
0,4,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.287113), np.float64(-0.712887)]",0,1,[-0.24063508 -0.75936492],[np.float64(-0.287113)],4,-0.21288700000000002,-0.2406350774436562,-0.7593649225563438
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.17), np.float64(-0.83)]",0,0,[-0.5930426 -0.4069574],[np.float64(-0.17)],3,-0.32999999999999996,-0.5930425978158675,-0.40695740218413246
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.8589), np.float64(-0.1411)]",0,1,[0.55269502 0.44730498],[np.float64(0.1411)],3,0.3589,0.5526950196982352,0.4473049803017647
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.31110000000000004), np.float64(0.31110000000000004)]",0,1,[-0.31569055 -0.68430945],[np.float64(-0.31110000000000004)],4,0.31110000000000004,-0.31569055449557665,-0.6843094455044233
0,4,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.712887), np.float64(-0.287113)]",0,1,[0.77622114 0.22377886],[np.float64(0.287113)],4,0.21288700000000002,0.7762211355516367,0.2237788644483634
0,4,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.712887), np.float64(-0.287113)]",0,1,[ 0.85688827 -0.14311173],[np.float64(0.287113)],4,0.21288700000000002,0.8568882654566493,-0.14311173454335066
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.59169621), np.float64(-0.40830379000000006)]",0,1,[ 0.98867574 -0.01132426],[np.float64(0.40830379000000006)],5,0.09169620999999994,0.9886757413081793,-0.01132425869182073
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.76169621), np.float64(-0.76169621)]",0,1,[-0.03051626 -0.96948374],[np.float64(-0.23830379000000002)],5,-0.76169621,-0.03051626457730169,-0.9694837354226983
