block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,18,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.40615822373804356), np.float64(-0.40615822373804356)]",0,1,[-0.1743239 -0.8256761],[np.float64(-0.5938417762619564)],18,-0.40615822373804356,-0.17432389691485398,-0.8256761030851459
0,18,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.34387913658461), np.float64(-0.65612086341539)]",0,1,[ 0.74932771 -0.25067229],[np.float64(-0.34387913658461)],18,-0.15612086341539,0.749327713625554,-0.25067228637444605
0,19,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.6588270920600434), np.float64(-0.3411729079399566)]",0,1,[-0.39013428 -0.60986572],[np.float64(-0.6588270920600434)],19,0.15882709206004342,-0.3901342752738824,-0.6098657247261177
0,19,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.2650859113598053), np.float64(-0.7349140886401947)]",0,1,[ 0.77958127 -0.22041873],[np.float64(0.7349140886401947)],19,-0.2349140886401947,0.7795812715350718,-0.22041872846492816
0,19,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.29626537482623605), np.float64(-0.703734625173764)]",0,1,[-0.25445341 -0.74554659],[np.float64(0.703734625173764)],19,-0.20373462517376395,-0.254453410743399,-0.745546589256601
0,20,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.22267216554223646), np.float64(-0.7773278344577635)]",0,1,[ 0.75059635 -0.24940365],[np.float64(0.7773278344577635)],20,-0.27732783445776354,0.7505963471042335,-0.24940365289576652
0,19,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.2888584747310724), np.float64(-0.7111415252689276)]",0,1,[ 0.74994663 -0.25005337],[np.float64(-0.2888584747310724)],19,-0.2111415252689276,0.7499466304799528,-0.2500533695200471
0,20,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.7511370851459617), np.float64(-0.7511370851459617)]",0,1,[ 0.0398268 -0.9601732],[np.float64(0.7511370851459617)],20,-0.7511370851459617,0.039826795895868426,-0.9601732041041317
0,20,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.7573588812258991), np.float64(-0.7573588812258991)]",0,1,[ 0.73578779 -0.26421221],[np.float64(-0.24264111877410083)],20,-0.7573588812258991,0.7357877935847033,-0.26421220641529675
0,20,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]",0,"[np.float64(-0.44658524266956356), np.float64(0.5534147573304364)]",0,1,[ 0.27671802 -0.72328198],[np.float64(-0.5534147573304364)],20,0.053414757330436435,0.27671802420916547,-0.7232819757908346
0,21,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.8129553809445214), np.float64(-0.8129553809445214)]",0,1,[ 0.71744711 -0.28255289],[np.float64(0.8129553809445214)],21,-0.8129553809445214,0.7174471057808374,-0.2825528942191627
0,21,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.6248683961575666), np.float64(-0.3751316038424334)]",0,1,[-0.20368052 -0.79631948],[np.float64(-0.6248683961575666)],21,0.12486839615756662,-0.2036805231850747,-0.7963194768149253
0,21,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.3638185397702447), np.float64(0.3638185397702447)]",0,1,[-0.01608442 -0.98391558],[np.float64(-0.3638185397702447)],21,0.3638185397702447,-0.01608441933807232,-0.9839155806619276
0,22,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.30560757340700556), np.float64(-0.6943924265929944)]",0,1,[ 0.26966434 -0.73033566],[np.float64(-0.30560757340700556)],22,-0.1943924265929944,0.26966434023551394,-0.7303356597644861
0,21,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[np.float64(0.36904484847739216), np.float64(-0.6309551515226078)]",0,0,[-0.39026201 -0.60973799],[np.float64(0.6309551515226078)],21,-0.13095515152260784,-0.39026200969382796,-0.609737990306172
0,22,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.6828825199933979), np.float64(-0.6828825199933979)]",0,1,[-0.15849692 -0.84150308],[np.float64(0.6828825199933979)],22,-0.6828825199933979,-0.1584969160589233,-0.8415030839410768
