block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",1,"[0, 0]",0,0,"[0.01, 0.01]",[0],1,0.0,0.01,0.01
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.01538462 -0.98461538],[np.float64(0.0)],2,-0.5,0.015384615384615384,-0.9846153846153846
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",1,"[np.float64(0.0), np.float64(0.0)]",0,0,[0.5 0.5],[np.float64(0.0)],2,0.0,0.5,0.5
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[1, 0]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(1.0), np.float64(0.0)]",0,1,[0.98507463 0.01492537],[np.float64(0.0)],2,0.5,0.9850746268656716,0.014925373134328358
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.01538462 -0.98461538],[np.float64(0.0)],2,-0.5,0.015384615384615384,-0.9846153846153846
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00932401 -0.99067599],[np.float64(0.0)],3,-0.5,0.009324009324009324,-0.9906759906759907
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00932401 -0.99067599],[np.float64(0.0)],3,-0.5,0.009324009324009324,-0.9906759906759907
0,3,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(1.0), np.float64(1.0)]",0,0,[0.5 0.5],[np.float64(0.0)],3,1.0,0.5,0.5
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.08999999999999997), np.float64(-0.91)]",0,1,[0.98643148 0.01356852],[np.float64(0.91)],3,-0.41000000000000003,0.9864314789687924,0.013568521031207597
0,4,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00565091 -0.99434909],[np.float64(0.0)],4,-0.5,0.005650914741823833,-0.9943490852581762
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.08999999999999997), np.float64(0.08999999999999997)]",0,1,[0.65714286 0.34285714],[np.float64(0.91)],4,0.08999999999999997,0.6571428571428571,0.34285714285714286
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00565091 -0.99434909],[np.float64(0.0)],4,-0.5,0.005650914741823833,-0.9943490852581762
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.008099999999999996), np.float64(-0.9919)]",0,1,[ 0.63267759 -0.36732241],[np.float64(0.9919)],4,-0.4919,0.6326775865332664,-0.36732241346673355
0,5,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.008099999999999996), np.float64(-0.9919)]",0,1,[0.62402141 0.37597859],[np.float64(0.9919)],5,-0.4919,0.624021411843426,0.37597858815657414
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[ 0.0034248 -0.9965752],[np.float64(0.0)],5,-1.0,0.003424796813226566,-0.9965752031867735
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.0034248 -0.9965752],[np.float64(0.0)],5,-0.5,0.003424796813226566,-0.9965752031867735
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.0007289999999999797), np.float64(-0.999271)]",0,1,[ 0.38497129 -0.61502871],[np.float64(0.999271)],5,-0.499271,0.38497129311763967,-0.6150287068823603
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.08999999999999997), np.float64(-0.08999999999999997)]",0,1,[-0.05540268 -0.94459732],[np.float64(-0.91)],6,-0.08999999999999997,-0.05540267944387464,-0.9445973205561253
0,6,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00207563 -0.99792437],[np.float64(0.0)],6,-0.5,0.002075634432258525,-0.9979243655677414
0,6,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(6.561000000004924e-05), np.float64(-0.99993439)]",0,1,[ 0.23341684 -0.76658316],[np.float64(0.99993439)],6,-0.49993438999999995,0.23341683733246552,-0.7665831626675345
0,6,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.0007289999999999797), np.float64(-0.999271)]",0,1,[ 0.69923895 -0.30076105],[np.float64(0.999271)],6,-0.499271,0.6992389503086954,-0.3007610496913045
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.9999940951), np.float64(-0.9999940951)]",0,1,[ 0.14147182 -0.85852818],[np.float64(0.9999940951)],7,-0.9999940951,0.1414718202508092,-0.8585281797491907
0,7,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(6.561000000004924e-05), np.float64(-0.99993439)]",0,1,[ 0.42392838 -0.57607162],[np.float64(0.99993439)],7,-0.49993438999999995,0.4239283784194077,-0.5760716215805922
0,8,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.08999946855899998), np.float64(-0.08999946855899998)]",0,1,[ 0.02675645 -0.97324355],[np.float64(0.08999946855899998)],8,-0.08999946855899998,0.026756450088773143,-0.973243549911227
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.00125796 -0.99874204],[np.float64(0.0)],7,-0.5,0.0012579602619748635,-0.9987420397380251
0,7,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.008099999999999996), np.float64(-0.008099999999999996)]",0,1,[-0.06033038 -0.93966962],[np.float64(-0.9919)],7,-0.008099999999999996,-0.06033037887014018,-0.9396696211298599
