block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",1,"[0, -1]",0,0,[-0.05],[-0.5],1,-0.5,0.0,0.0
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",1,"[1, 1]",0,0,[0.1],[1.],1,1.0,0.0,0.0
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[-1, -1]",0,0,[-0.1],[-1.],1,-1.0,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[np.float64(0.72), np.float64(0.66)]",0,"[np.float64(-0.82), np.float64(0.24)]",0,1,[0.14],[0.4],2,-0.29,0.72,0.66
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.05],[0.5],1,0.5,0.0,0.0
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(-0.72), np.float64(-0.66)]",0,"[np.float64(0.82), np.float64(0.76)]",0,1,[-0.09],[0.1],2,0.79,-0.72,-0.66
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(-0.66)]",0,"[np.float64(0.05), np.float64(-0.2899999999999999)]",0,1,[-0.095],[-0.45],2,-0.11999999999999997,0.0,-0.66
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.72), np.float64(0.0)]",0,"[np.float64(-0.77), np.float64(-0.05)]",0,1,[0.045],[-0.05],2,-0.41000000000000003,0.72,0.0
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.17879999999999996), np.float64(-0.11280000000000001)]",1,"[np.float64(-0.7312000000000001), np.float64(-0.7972)]",0,0,[-0.181],[-0.91],3,-0.7642,-0.17879999999999996,-0.11280000000000001
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.2118), np.float64(-0.036)]",0,"[np.float64(0.7432), np.float64(-0.009000000000000001)]",0,1,[0.0905],[0.455],3,0.3671,0.2118,-0.036
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.033), np.float64(-0.8688)]",0,"[np.float64(0.062), np.float64(-0.03620000000000001)]",0,1,[-0.1355],[-0.405],3,0.012899999999999995,0.033,-0.8688
0,4,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.702312), np.float64(-0.04248)]",0,"[np.float64(0.20718799999999993), np.float64(-0.04802)]",0,1,[0.13145],[0.4095],4,0.07958399999999996,0.702312,-0.04248
0,3,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.17879999999999996), np.float64(0.8328)]",0,"[np.float64(-0.3188), np.float64(-0.9728)]",0,1,[0.126],[-0.14],3,-0.6457999999999999,0.17879999999999996,0.8328
