,QLearning,QLearning+novel,ActorCritic,ActorCritic+novel,Relative,Relative+novel,wRelative+bias+decay,wRelative+bias+decay+novel,Hybrid2012+bias,Hybrid2012+bias+novel,Hybrid2021+bias+decay,Hybrid2021+bias+decay+novel,best_model
chronic pain,47438.982156977,46949.65963130514,47968.22249800114,46562.74104358727,43687.09537291531,41951.74443458432,40726.84076105525,39115.66384167358,41223.79367706869,39584.5162097777,40201.285282566394,38489.271534235515,Hybrid2021+bias+decay+novel
acute pain,39231.83955521075,38951.713974771694,40096.603630001504,38445.981359399826,35884.62449038879,35396.247419336316,34427.77740442453,33465.76340174258,34890.57795015251,33861.47322770536,33501.31960375166,32635.91607547752,Hybrid2021+bias+decay+novel
no pain,49602.17783497444,49232.50617860011,51328.30017209289,49622.17831995067,47363.831343676145,45847.578350992124,44130.14738575984,42744.38980123844,44527.879000250796,43029.693964208,43298.831837226535,41671.00839580214,Hybrid2021+bias+decay+novel
full,136190.50934893716,135030.76703689565,139290.01355231422,134507.16542560022,126832.43845919898,123071.83490757519,119119.78515478956,115140.21409864827,120456.64768146566,116269.45790612847,116774.58867842573,112548.72541084007,Hybrid2021+bias+decay+novel
