,QLearning,QLearning+novel,ActorCritic,ActorCritic+novel,Relative,Relative+novel,wRelative+bias+decay,wRelative+bias+decay+novel,Hybrid2012+bias,Hybrid2012+bias+novel,Hybrid2021+bias+decay,Hybrid2021+bias+decay+novel,best_model
chronic pain,47403.2383168222,46904.97983111165,47923.54269780764,46509.125283355075,43642.41557272182,41898.12867435212,40655.353080745655,39035.24020132529,41143.37003672039,39495.1566093907,40102.9897221407,38382.04001377112,Hybrid2021+bias+decay+novel
acute pain,39197.28077832052,38908.51550365891,40053.40515888872,38394.14319406448,35841.42601927601,35344.40925400097,34358.65985064408,33388.006153739574,34812.8207021495,33775.076285479794,33406.28296730354,32532.23974480684,Hybrid2021+bias+decay+novel
no pain,49566.07456950316,49187.377096761,51283.17109025378,49568.02342174374,47318.70226183704,45793.423452785195,44057.940854817265,42663.15745392804,44446.6466529404,42939.43580052979,43199.5478571805,41562.698599388284,Hybrid2021+bias+decay+novel
full,136150.5936646459,134980.87243153155,139240.11894695013,134447.2918991633,126782.54385383488,123011.96138113827,119039.95378620701,115050.40380899291,120366.8373918103,116169.6686954003,116664.82054662473,112428.97835796625,Hybrid2021+bias+decay+novel
