block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",1,"[1, 0]",0,0,[0.38],[0.5],1,0.5,0.0,0.0
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[0, 0]",0,"[0, 0]",0,1,[0.],[0.],1,0.0,0.0,0.0
0,2,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.3), np.float64(0.0)]",0,"[np.float64(-0.6799999999999999), np.float64(-0.38)]",0,1,[0.0912],[-0.38],2,-0.53,0.3,0.0
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.0), np.float64(0.0)]",1,"[np.float64(0.0), np.float64(-1.0)]",0,0,[-0.38],[-0.5],2,-0.5,0.0,0.0
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[0, 0]",0,"[1, 0]",0,1,[0.38],[0.5],1,0.5,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",1,"[-1, -1]",0,0,[-0.76],[-1.],1,-1.0,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.3), np.float64(-0.95)]",0,"[np.float64(1.06), np.float64(0.71)]",0,1,[-0.5624],[0.26],2,0.885,-0.3,-0.95
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.95), np.float64(0.0)]",0,"[np.float64(-0.32999999999999996), np.float64(-0.38)]",0,1,[0.4712],[0.12],2,-0.355,0.95,0.0
0,3,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.6365000000000001), np.float64(-0.11399999999999999)]",0,"[np.float64(-1.1077000000000001), np.float64(-0.3572)]",0,1,[0.113088],[-0.4712],3,-0.73245,0.6365000000000001,-0.11399999999999999
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(-0.3459999999999999), np.float64(-0.11399999999999999)]",1,"[np.float64(1.2548), np.float64(0.022799999999999987)]",0,0,[0.401888],[0.4088],3,0.6387999999999999,-0.3459999999999999,-0.11399999999999999
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.0), np.float64(-0.95)]",0,"[np.float64(0.38), np.float64(1.33)]",0,1,[-0.0912],[0.38],3,0.855,0.0,-0.95
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.7069999999999999), np.float64(-0.737)]",0,"[np.float64(-0.14459999999999984), np.float64(1.2993999999999999)]",0,1,[-0.134976],[0.5624],3,0.5774,0.7069999999999999,-0.737
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.030440000000000023), np.float64(-0.09234)]",0,"[np.float64(0.567672), np.float64(0.690452)]",0,1,[0.85645312],[0.598112],4,0.629062,0.030440000000000023,-0.09234
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.56963), np.float64(-0.34718000000000004)]",0,"[np.float64(-0.434654), np.float64(-0.517844)]",0,1,[-0.41239424],[-0.365024],4,-0.476249,0.56963,-0.34718000000000004
0,4,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.361), np.float64(-0.5509999999999999)]",0,"[np.float64(-0.2698), np.float64(0.6421999999999999)]",0,1,[-0.021888],[0.0912],4,0.18619999999999995,0.361,-0.5509999999999999
0,4,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.41581500000000005), np.float64(-0.22116)]",1,"[np.float64(0.302727), np.float64(0.10807199999999997)]",0,0,[0.02714112],[-0.113088],4,0.2053995,-0.41581500000000005,-0.22116
0,5,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(-0.32499690000000003), np.float64(-0.11849160000000003)]",0,"[np.float64(1.29785578), np.float64(0.09135048000000003)]",0,1,[0.38651387],[0.47285888],5,0.69460313,-0.32499690000000003,-0.11849160000000003
0,5,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.10469), np.float64(-0.35834)]",0,"[np.float64(-0.082802), np.float64(-0.619772)]",0,1,[-0.38525312],[-0.478112],5,-0.351287,0.10469,-0.35834
0,5,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.15670869999999998), np.float64(-0.5025332)]",0,"[np.float64(-0.74431446), np.float64(-0.08507255999999996)]",0,1,[-0.85897462],[-0.58760576],5,-0.41469351,0.15670869999999998,-0.5025332
0,6,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.5503900370000001), np.float64(-0.528054968)]",1,"[np.float64(1.4093646546), np.float64(0.3870295855999999)]",0,0,[-0.58615391],[0.35897462],6,0.8981971201,-0.5503900370000001,-0.528054968
