block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,41970,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,41971,State HN,HN,"[np.float64(-0.009900999999999938), np.float64(0.96)]",1,"[np.float64(-0.9441316804502904), np.float64(0.96)]"
0,41972,State AD,AD,"[np.float64(0.9931542353555611), np.float64(9.900000099683181e-09)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.8962867945895744)]"
0,41973,State CB,CB,"[np.float64(0.9514038182707214), np.float64(0.9968995239)]",1,"[np.float64(0.10371320541042559), np.float64(-0.5802366305989398)]"
0,41974,State AG,AG,"[np.float64(0.9931542353555611), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.41976336940106024), np.float64(0.05586831954970961)]"
0,41975,State EF,EF,"[np.float64(-0.3146248723383743), np.float64(-0.9901)]",0,"[np.float64(0.3038483419886236), np.float64(-0.6961516580113765)]"
0,41976,State CH,CH,"[np.float64(0.9514038182707214), np.float64(-0.009900999999999938)]",0,"[np.float64(0.10371320541042559), np.float64(-0.9441316804502904)]"
0,41977,State FN,FN,"[np.float64(-0.9901), np.float64(0.96)]",1,"[np.float64(-0.6961516580113765), np.float64(0.96)]"
0,41978,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,41979,State AD,AD,"[np.float64(0.9931542353555611), np.float64(9.900000099683181e-09)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.8962867945895744)]"
0,41980,State CB,CB,"[np.float64(0.9514038182707214), np.float64(0.9968995239)]",0,"[np.float64(0.10371320541042559), np.float64(-0.5802366305989398)]"
0,41981,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,41982,State CD,CD,"[np.float64(0.9514038182707214), np.float64(9.900000099683181e-09)]",0,"[np.float64(0.10371320541042559), np.float64(-0.8962867945895744)]"
0,41983,State CB,CB,"[np.float64(0.9514038182707214), np.float64(0.9968995239)]",0,"[np.float64(0.10371320541042559), np.float64(-0.5802366305989398)]"
0,41984,State AD,AD,"[np.float64(0.9931542353555611), np.float64(9.900000099683181e-09)]",0,"[np.float64(-0.41976336940106024), np.float64(-0.8962867945895744)]"
0,41985,State CF,CF,"[np.float64(0.9514038182707214), np.float64(-0.9901)]",0,"[np.float64(0.10371320541042559), np.float64(-0.6961516580113765)]"
0,41986,State HN,HN,"[np.float64(-0.009900999999999938), np.float64(0.96)]",1,"[np.float64(-0.9441316804502904), np.float64(0.96)]"
0,41987,State CG,CG,"[np.float64(0.9514038182707214), np.float64(-0.23713676268956843)]",0,"[np.float64(0.10371320541042559), np.float64(0.05586831954970961)]"
0,41988,State DF,DF,"[np.float64(9.900000099683181e-09), np.float64(-0.9901)]",0,"[np.float64(-0.8962867945895744), np.float64(-0.6961516580113765)]"
0,41989,State AG,AG,"[np.float64(0.9931542353555611), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.41976336940106024), np.float64(0.05586831954970961)]"
0,41990,State BG,BG,"[np.float64(0.9968995239), np.float64(-0.23713676268956843)]",0,"[np.float64(-0.5802366305989398), np.float64(0.05586831954970961)]"
0,41991,State FN,FN,"[np.float64(-0.9901), np.float64(0.96)]",1,"[np.float64(-0.6961516580113765), np.float64(0.96)]"
