block_number,trial_number,state_id,stim_id,q_values,action
0,14742,State DF,DF,"[np.float64(0.09378265068724917), np.float64(-0.4081929226633528)]",0
0,14743,State CF,CF,"[np.float64(0.09622278919723226), np.float64(-0.4081929226633528)]",0
0,14744,State AG,AG,"[np.float64(0.5480474319947898), np.float64(-0.06700672013079967)]",0
0,14745,State CN,CN,"[np.float64(0.09622278919723226), np.float64(-0.13)]",0
0,14746,State BF,BF,"[np.float64(-0.30310604070263514), np.float64(-0.4081929226633528)]",0
0,14747,State BG,BG,"[np.float64(-0.30310604070263514), np.float64(-0.06700672013079967)]",1
0,14748,State AN,AN,"[np.float64(0.5480474319947898), np.float64(-0.13)]",0
0,14749,State AF,AF,"[np.float64(0.5480474319947898), np.float64(-0.4081929226633528)]",0
0,14750,State DE,DE,"[np.float64(0.09378265068724917), np.float64(0.02690189153025524)]",0
0,14751,State HN,HN,"[np.float64(-0.35566916853885266), np.float64(-0.13)]",1
0,14752,State CN,CN,"[np.float64(0.09622278919723226), np.float64(-0.13)]",0
0,14753,State HN,HN,"[np.float64(-0.35566916853885266), np.float64(-0.13)]",1
0,14754,State CG,CG,"[np.float64(0.09622278919723226), np.float64(-0.06700672013079967)]",1
0,14755,State CE,CE,"[np.float64(0.09622278919723226), np.float64(0.02690189153025524)]",1
0,14756,State AF,AF,"[np.float64(0.5480474319947898), np.float64(-0.4081929226633528)]",0
0,14757,State BE,BE,"[np.float64(-0.30310604070263514), np.float64(0.02690189153025524)]",1
0,14758,State DE,DE,"[np.float64(0.09378265068724917), np.float64(0.02690189153025524)]",0
0,14759,State EH,EH,"[np.float64(0.02690189153025524), np.float64(-0.35566916853885266)]",1
0,14760,State CH,CH,"[np.float64(0.09622278919723226), np.float64(-0.35566916853885266)]",0
0,14761,State DE,DE,"[np.float64(0.09378265068724917), np.float64(0.02690189153025524)]",1
0,14762,State BE,BE,"[np.float64(-0.30310604070263514), np.float64(0.02690189153025524)]",1
0,14763,State DH,DH,"[np.float64(0.09378265068724917), np.float64(-0.35566916853885266)]",0
0,14764,State CE,CE,"[np.float64(0.09622278919723226), np.float64(0.02690189153025524)]",0
0,14765,State AH,AH,"[np.float64(0.5480474319947898), np.float64(-0.35566916853885266)]",0
0,14766,State EH,EH,"[np.float64(0.02690189153025524), np.float64(-0.35566916853885266)]",0
0,14767,State FN,FN,"[np.float64(-0.4081929226633528), np.float64(-0.13)]",1
0,14768,State CN,CN,"[np.float64(0.09622278919723226), np.float64(-0.13)]",0
0,14769,State AD,AD,"[np.float64(0.5480474319947898), np.float64(0.09378265068724917)]",0
0,14770,State HN,HN,"[np.float64(-0.35566916853885266), np.float64(-0.13)]",1
0,14771,State DH,DH,"[np.float64(0.09378265068724917), np.float64(-0.35566916853885266)]",0
0,14772,State BN,BN,"[np.float64(-0.30310604070263514), np.float64(-0.13)]",0
