block_number,trial_number,state_id,stim_id,q_values,action
0,40483,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40484,State GH,GH,"[np.float64(-0.19644067572638316), np.float64(-0.41784334912357946)]",0
0,40485,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",1
0,40486,State BF,BF,"[np.float64(-0.13386803773224978), np.float64(-0.6797825454283679)]",0
0,40487,State FN,FN,"[np.float64(-0.6797825454283679), np.float64(0.9)]",1
0,40488,State BE,BE,"[np.float64(-0.13386803773224978), np.float64(0.3199998694134791)]",1
0,40489,State CN,CN,"[np.float64(0.5459474347025296), np.float64(0.9)]",1
0,40490,State AG,AG,"[np.float64(0.6165153383865554), np.float64(-0.19644067572638316)]",0
0,40491,State DF,DF,"[np.float64(-0.2368357078343472), np.float64(-0.6797825454283679)]",0
0,40492,State DE,DE,"[np.float64(-0.2368357078343472), np.float64(0.3199998694134791)]",1
0,40493,State EN,EN,"[np.float64(0.3199998694134791), np.float64(0.9)]",1
0,40494,State AG,AG,"[np.float64(0.6165153383865554), np.float64(-0.19644067572638316)]",0
0,40495,State EH,EH,"[np.float64(0.3199998694134791), np.float64(-0.41784334912357946)]",0
0,40496,State EN,EN,"[np.float64(0.3199998694134791), np.float64(0.9)]",1
0,40497,State CH,CH,"[np.float64(0.5459474347025296), np.float64(-0.41784334912357946)]",0
0,40498,State DE,DE,"[np.float64(-0.2368357078343472), np.float64(0.3199998694134791)]",1
0,40499,State DG,DG,"[np.float64(-0.2368357078343472), np.float64(-0.19644067572638316)]",0
0,40500,State DN,DN,"[np.float64(-0.2368357078343472), np.float64(0.9)]",1
0,40501,State GN,GN,"[np.float64(-0.19644067572638316), np.float64(0.9)]",1
0,40502,State CG,CG,"[np.float64(0.5459474347025296), np.float64(-0.19644067572638316)]",0
0,40503,State HN,HN,"[np.float64(-0.41784334912357946), np.float64(0.9)]",1
0,40504,State CF,CF,"[np.float64(0.5459474347025296), np.float64(-0.6797825454283679)]",0
0,40505,State DN,DN,"[np.float64(-0.2368357078343472), np.float64(0.9)]",1
0,40506,State CN,CN,"[np.float64(0.5459474347025296), np.float64(0.9)]",1
0,40507,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",0
0,40508,State BN,BN,"[np.float64(-0.13386803773224978), np.float64(0.9)]",1
0,40509,State AN,AN,"[np.float64(0.6165153383865554), np.float64(0.9)]",1
0,40510,State AG,AG,"[np.float64(0.6165153383865554), np.float64(-0.19644067572638316)]",0
0,40511,State AF,AF,"[np.float64(0.6165153383865554), np.float64(-0.6797825454283679)]",0
0,40512,State FN,FN,"[np.float64(-0.6797825454283679), np.float64(0.9)]",1
0,40513,State BH,BH,"[np.float64(-0.13386803773224978), np.float64(-0.41784334912357946)]",0
0,40514,State FN,FN,"[np.float64(-0.6797825454283679), np.float64(0.9)]",1
0,40515,State AE,AE,"[np.float64(0.6165153383865554), np.float64(0.3199998694134791)]",0
0,40516,State BF,BF,"[np.float64(-0.13386803773224978), np.float64(-0.6797825454283679)]",0
0,40517,State BN,BN,"[np.float64(-0.13386803773224978), np.float64(0.9)]",1
0,40518,State CN,CN,"[np.float64(0.5459474347025296), np.float64(0.9)]",1
0,40519,State EN,EN,"[np.float64(0.3199998694134791), np.float64(0.9)]",0
0,40520,State CE,CE,"[np.float64(0.5459474347025296), np.float64(0.3199998694134791)]",0
0,40521,State AF,AF,"[np.float64(0.6165153383865554), np.float64(-0.6797825454283679)]",0
0,40522,State AD,AD,"[np.float64(0.6165153383865554), np.float64(-0.2368357078343472)]",0
0,40523,State CG,CG,"[np.float64(0.5459474347025296), np.float64(-0.19644067572638316)]",0
0,40524,State CD,CD,"[np.float64(0.5459474347025296), np.float64(-0.2368357078343472)]",0
0,40525,State BG,BG,"[np.float64(-0.13386803773224978), np.float64(-0.19644067572638316)]",1
