block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,1,0,State AB,"['B', 'A']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]",1,"[0, 1]",0,0,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[1, 0]",0,1,"[0.01, 0.01]",[0],1,0.5,0.01,0.01
0,1,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[0, -1]",0,1,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.0), np.float64(0.0)]",0,1,[ 0.01219512 -0.98780488],[np.float64(0.0)],2,0.0,0.012195121951219513,-0.9878048780487805
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[0, -1]",0,0,"[0.01, 0.01]",[0],1,-0.5,0.01,0.01
0,2,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[np.float64(0.74), np.float64(-0.26)]",0,0,[0.01785714 0.98214286],[np.float64(0.26)],2,0.24,0.017857142857142856,0.9821428571428571
0,2,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.74), np.float64(-0.26)]",0,1,[0.98214286 0.01785714],[np.float64(0.26)],2,0.24,0.9821428571428571,0.017857142857142856
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.74), np.float64(-0.74)]",0,1,[ 0.01851852 -0.98148148],[np.float64(-0.26)],2,-0.74,0.018518518518518517,-0.9814814814814815
0,3,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.4524), np.float64(-0.4524)]",0,1,[ 0.87613682 -0.12386318],[np.float64(0.4524)],3,-0.4524,0.8761368165513242,-0.12386318344867567
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.0), np.float64(-1.0)]",0,1,[ 0.01219512 -0.98780488],[np.float64(0.0)],3,-0.5,0.012195121951219513,-0.9878048780487805
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.4524), np.float64(-0.5476)]",0,1,[-0.19350495 -0.80649505],[np.float64(-0.4524)],3,-0.047599999999999976,-0.19350494989919656,-0.8064950501008035
0,4,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-1.0), np.float64(-1.0)]",0,1,[ 0.00670062 -0.99329938],[np.float64(0.0)],4,-1.0,0.0067006164567140186,-0.993299383543286
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.665224), np.float64(0.665224)]",0,1,[ 0.5608028 -0.4391972],[np.float64(0.334776)],4,0.665224,0.5608028037896782,-0.4391971962103219
0,3,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",1,"[np.float64(0.8076), np.float64(-0.19240000000000002)]",0,0,[0.42598005 0.57401995],[np.float64(0.19240000000000002)],3,0.3076,0.42598004832047387,0.5740199516795261
