block_number,trial_number,state_id,stim_id,q_values,action
0,67031,State CB,CB,"[np.float64(0.3902139203953016), np.float64(-0.4540881798694047)]",0
0,67032,State CH,CH,"[np.float64(0.3902139203953016), np.float64(-0.5339591442283829)]",0
0,67033,State CE,CE,"[np.float64(0.3902139203953016), np.float64(-0.5044096795271248)]",0
0,67034,State DG,DG,"[np.float64(-0.6028704527931195), np.float64(0.44950842354779375)]",1
0,67035,State FN,FN,"[np.float64(-0.4535264462120654), np.float64(0.86)]",1
0,67036,State BE,BE,"[np.float64(-0.4540881798694047), np.float64(-0.5044096795271248)]",1
0,67037,State BE,BE,"[np.float64(-0.4540881798694047), np.float64(-0.5044096795271248)]",0
0,67038,State GH,GH,"[np.float64(0.44950842354779375), np.float64(-0.5339591442283829)]",0
0,67039,State GN,GN,"[np.float64(0.44950842354779375), np.float64(0.86)]",1
0,67040,State AB,AB,"[np.float64(-0.40825939817685797), np.float64(-0.4540881798694047)]",1
0,67041,State CH,CH,"[np.float64(0.3902139203953016), np.float64(-0.5339591442283829)]",0
0,67042,State EH,EH,"[np.float64(-0.5044096795271248), np.float64(-0.5339591442283829)]",0
0,67043,State CF,CF,"[np.float64(0.3902139203953016), np.float64(-0.4535264462120654)]",0
0,67044,State AF,AF,"[np.float64(-0.40825939817685797), np.float64(-0.4535264462120654)]",0
0,67045,State GN,GN,"[np.float64(0.44950842354779375), np.float64(0.86)]",1
0,67046,State DG,DG,"[np.float64(-0.6028704527931195), np.float64(0.44950842354779375)]",1
0,67047,State GF,GF,"[np.float64(0.44950842354779375), np.float64(-0.4535264462120654)]",0
0,67048,State EH,EH,"[np.float64(-0.5044096795271248), np.float64(-0.5339591442283829)]",0
0,67049,State FN,FN,"[np.float64(-0.4535264462120654), np.float64(0.86)]",1
0,67050,State BG,BG,"[np.float64(-0.4540881798694047), np.float64(0.44950842354779375)]",1
0,67051,State AD,AD,"[np.float64(-0.40825939817685797), np.float64(-0.6028704527931195)]",0
0,67052,State GH,GH,"[np.float64(0.44950842354779375), np.float64(-0.5339591442283829)]",0
0,67053,State AD,AD,"[np.float64(-0.40825939817685797), np.float64(-0.6028704527931195)]",1
0,67054,State FN,FN,"[np.float64(-0.4535264462120654), np.float64(0.86)]",1
0,67055,State HN,HN,"[np.float64(-0.5339591442283829), np.float64(0.86)]",1
0,67056,State AF,AF,"[np.float64(-0.40825939817685797), np.float64(-0.4535264462120654)]",1
0,67057,State BE,BE,"[np.float64(-0.4540881798694047), np.float64(-0.5044096795271248)]",0
0,67058,State BG,BG,"[np.float64(-0.4540881798694047), np.float64(0.44950842354779375)]",1
0,67059,State BF,BF,"[np.float64(-0.4540881798694047), np.float64(-0.4535264462120654)]",0
0,67060,State AB,AB,"[np.float64(-0.40825939817685797), np.float64(-0.4540881798694047)]",1
0,67061,State DE,DE,"[np.float64(-0.6028704527931195), np.float64(-0.5044096795271248)]",0
0,67062,State CE,CE,"[np.float64(0.3902139203953016), np.float64(-0.5044096795271248)]",0
0,67063,State DF,DF,"[np.float64(-0.6028704527931195), np.float64(-0.4535264462120654)]",1
0,67064,State EH,EH,"[np.float64(-0.5044096795271248), np.float64(-0.5339591442283829)]",0
0,67065,State DG,DG,"[np.float64(-0.6028704527931195), np.float64(0.44950842354779375)]",1
0,67066,State CH,CH,"[np.float64(0.3902139203953016), np.float64(-0.5339591442283829)]",0
0,67067,State CG,CG,"[np.float64(0.3902139203953016), np.float64(0.44950842354779375)]",1
0,67068,State EF,EF,"[np.float64(-0.5044096795271248), np.float64(-0.4535264462120654)]",1
0,67069,State FN,FN,"[np.float64(-0.4535264462120654), np.float64(0.86)]",1
