block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,6,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.24316906905600003), np.float64(-0.499682476566)]",0,"[np.float64(0.256839319552), np.float64(-0.0003091348259999793)]",0,1,[0.49999161],[5.24288e-05],6,0.12826509236300002,0.24316906905600003,-0.499682476566
0,6,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.31155839999999996), np.float64(-0.14246736000000004)]",0,"[np.float64(-0.32468607999999993), np.float64(0.12933968000000007)]",0,1,[-0.98687232],[-0.082048],6,-0.09767319999999993,0.31155839999999996,-0.14246736000000004
0,7,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.10649861136384), np.float64(-0.463790831616)]",0,"[np.float64(-0.024453295718399964), np.float64(0.54583614726144)]",0,1,[-0.08204532],[0.51278322],7,0.26069142577152005,0.10649861136384,-0.463790831616
0,7,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.04212503040000003), np.float64(0.014480486400000048)]",1,"[np.float64(0.03813388800000002), np.float64(-0.018471628800000053)]",0,0,[0.00399114],[-0.02494464],7,0.009831129599999983,-0.04212503040000003,0.014480486400000048
0,7,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.27259607039999995), np.float64(-0.035115425599999986)]",0,"[np.float64(0.30530350080000007), np.float64(-0.3869850032)]",0,1,[-0.57789957],[0.48687232],7,-0.04084075119999997,0.27259607039999995,-0.035115425599999986
0,8,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]","[np.float64(0.10356421587763201), np.float64(-0.010746829389004786)]",0,"[np.float64(-0.0904369653743616), np.float64(0.02387407989227519)]",0,1,[-0.01312725],[0.08204532],8,-0.03328144274104321,0.10356421587763201,-0.010746829389004786
0,8,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.010473903360000016), np.float64(0.01226389094400004)]",0,"[np.float64(0.009835320576000015), np.float64(-0.012902473728000042)]",0,1,[0.00063858],[-0.00399114],8,-0.0015335765760000133,-0.010473903360000016,0.01226389094400004
0,8,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.30923249049599993), np.float64(-0.35631297825599995)]",0,"[np.float64(0.20323144089600004), np.float64(-0.13122309035200008)]",0,1,[-0.51246393],[0.07789957],8,0.03600417527199998,0.30923249049599993,-0.35631297825599995
0,7,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.27398978740224), np.float64(-0.49993905847158)]",0,"[np.float64(-0.35398844522496004), np.float64(0.41994040064885996)]",0,1,[0.07999866],[-0.49999161],7,0.03297597771194996,0.27398978740224,-0.49993905847158
0,8,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.2315111739752448), np.float64(-0.15138852593302626)]",0,"[np.float64(-0.24431095922688), np.float64(0.13858874068139104)]",0,1,[0.01279979],[-0.07999866],8,-0.05286110927274448,0.2315111739752448,-0.15138852593302626
0,9,0,State CD,"['C', 'D']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(-0.009293664890880014), np.float64(0.0015548377497600074)]",1,"[np.float64(0.58919149164544), np.float64(-0.4216570109952)]",0,0,[0.42010217],[0.49936142],9,0.08376724032512003,-0.009293664890880014,0.0015548377497600074
0,9,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.2021938588680192), np.float64(-0.036359871167471705)]",1,"[np.float64(0.3757581754917192), np.float64(-0.38568809447278996)]",0,0,[0.42204797],[0.48720021],9,-0.004964959490535381,0.2021938588680192,-0.036359871167471705
0,9,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.09271178003270862), np.float64(0.00906865692158362)]",0,"[np.float64(-0.2506114199521854), np.float64(-0.16696829684106038)]",0,1,[-0.84210036],[-0.98687275],9,-0.2087898583966229,0.09271178003270862,0.00906865692158362
0,10,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.06263840963844637), np.float64(-0.12951502945649648)]",0,"[np.float64(-0.08790235202556264), np.float64(0.10425108706938022)]",0,1,[-0.97473606],[-0.15789964],10,0.008174367521908789,0.06263840963844637,-0.12951502945649648
0,9,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[np.float64(0.3336202634035199), np.float64(-0.46522814324816)]",0,"[np.float64(-0.8316260343808), np.float64(0.9672223722708799)]",0,1,[-0.50199423],[0.01246393],9,0.06779816894503998,0.3336202634035199,-0.46522814324816
0,10,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.514073144526146), np.float64(-0.08264244250420649)]",0,"[np.float64(-0.0016008190285878854), np.float64(-0.40488523199823534)]",0,1,[0.48752767],[0.07795203],10,-0.2032430255134116,0.514073144526146,-0.08264244250420649
0,10,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4797352731748352), np.float64(-0.049044003569663985)]",0,"[np.float64(0.03304837910589442), np.float64(-0.4381723441496064)]",0,1,[0.48721635],[0.07989783],10,-0.20256198252185598,0.4797352731748352,-0.049044003569663985
0,10,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.23382513927782392), np.float64(0.3375664257366703)]",1,"[np.float64(-0.7335060626341887), np.float64(0.1627526509069649)]",0,0,[-0.50031908],[0.00199423],10,-0.2853767058636119,0.23382513927782392,0.3375664257366703
