block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.35), np.float64(-0.65)]",0,1,1,-0.15000000000000002,0.0,0.0
0,1,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[0, 0]",0,"[np.float64(0.65), np.float64(-0.35)]",0,1,1,0.15000000000000002,0.0,0.0
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.637), np.float64(-0.063)]",0,"[np.float64(0.013000000000000012), np.float64(-0.287)]",0,1,2,-0.13699999999999998,0.637,-0.063
0,1,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[0, 0]",0,"[np.float64(0.35), np.float64(-0.65)]",0,1,1,-0.15000000000000002,0.0,0.0
0,1,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]","[0, 0]",0,"[np.float64(-0.35), np.float64(0.65)]",0,1,1,0.15000000000000002,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.34299999999999997), np.float64(-0.11699999999999999)]",0,"[np.float64(0.007000000000000006), np.float64(-0.533)]",0,1,2,-0.263,0.34299999999999997,-0.11699999999999999
0,2,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.34299999999999997), np.float64(-0.11699999999999999)]",0,"[np.float64(0.007000000000000006), np.float64(-0.533)]",0,1,2,-0.263,0.34299999999999997,-0.11699999999999999
0,2,0,State CD,"['D', 'C']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]","[np.float64(-0.34299999999999997), np.float64(0.11699999999999999)]",1,"[np.float64(-0.007000000000000006), np.float64(0.533)]",0,0,2,0.263,-0.34299999999999997,0.11699999999999999
0,3,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(-0.34425999999999995), np.float64(0.63934)]",1,"[np.float64(0.64426), np.float64(-0.33934)]",0,0,3,0.15246000000000004,-0.34425999999999995,0.63934
0,3,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.64974), np.float64(-0.11465999999999998)]",0,"[np.float64(0.000260000000000038), np.float64(-0.23534)]",0,1,3,-0.11753999999999998,0.64974,-0.11465999999999998
0,3,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(0.34986), np.float64(-0.21294)]",0,"[np.float64(-0.6498600000000001), np.float64(-0.08706000000000005)]",0,1,3,-0.36846000000000007,0.34986,-0.21294
0,4,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(-0.22829319999999995), np.float64(0.3067868)]",1,"[np.float64(0.5282932), np.float64(-0.006786799999999982)]",0,0,4,0.2607532,-0.22829319999999995,0.3067868
0,3,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.34986), np.float64(-0.21294)]",0,"[np.float64(0.00013999999999997348), np.float64(-0.43706)]",0,1,3,-0.21846000000000002,0.34986,-0.21294
0,4,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.6499948), np.float64(-0.15702119999999997)]",0,"[np.float64(5.200000000038507e-06), np.float64(-0.1929788)]",0,1,4,-0.09648679999999998,0.6499948,-0.15702119999999997
