,QLearning+novel,ActorCritic+novel,Relative+novel,wRelative+novel,Hybrid2012+novel,best_model
chronic pain,433.7440457124931,400.293679739281,389.6683731432959,386.75084744257305,391.72915920179554,wRelative+novel
acute pain,433.2217444534856,407.4367671913319,407.1240097831465,400.5020174230422,395.84887679097903,Hybrid2012+novel
no pain,388.89727467782274,373.15419789020444,367.1442099504569,360.6435120941477,363.3481136660475,wRelative+novel
full,413.3627350912722,389.6138454098184,383.3610054323564,378.002813096694,379.81782913638096,wRelative+novel
