group,QLearning+novel,ActorCritic+novel,Relative+novel,wRelative+novel,Hybrid2012+novel
acute pain,24.528301886792452,28.30188679245283,11.320754716981133,15.09433962264151,20.754716981132077
chronic pain,24.358974358974358,23.076923076923077,14.102564102564102,23.076923076923077,15.384615384615385
no pain,35.18518518518518,21.296296296296298,15.74074074074074,12.962962962962962,14.814814814814813
full,29.288702928870293,23.430962343096233,14.225941422594143,16.736401673640167,16.317991631799163
