,QLearning+novel,ActorCritic+novel,Relative+novel,wRelative+novel,Hybrid2012+novel,best_model
chronic pain,417.0489012968854,379.42474921977146,368.79944262378626,365.8819169230632,358.3388703705799,Hybrid2012+novel
acute pain,416.52660003787776,386.5678366718222,386.25507926363673,379.6330869035325,362.45858795976363,Hybrid2012+novel
no pain,372.202130262215,352.2852673706947,346.27527943094714,339.77458157463775,329.957824834832,Hybrid2012+novel
full,396.6675906756645,368.7449148903087,362.49207491284676,357.1338825771843,346.42754030516556,Hybrid2012+novel
