block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,1,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[0, 0]",0,"[np.float64(0.0), np.float64(0.0)]",0,1,[0.],[0.],1,0.0,0.0,0.0
0,1,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[0, 0]",0,"[np.float64(-0.29000000000000004), np.float64(-0.29000000000000004)]",0,1,[-0.71],[-1.],1,-0.29000000000000004,0.0,0.0
0,1,0,State EF,"['E', 'F']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[-1, 0]","[0, 0]",1,"[np.float64(-0.645), np.float64(0.355)]",0,0,[-0.355],[-0.5],1,-0.14500000000000002,0.0,0.0
0,2,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]","[np.float64(-0.08120000000000002), np.float64(-0.19140000000000004)]",1,"[np.float64(-0.0029000000000000414), np.float64(0.10729999999999998)]",0,0,[-0.9159],[-0.29],2,0.05219999999999997,-0.08120000000000002,-0.19140000000000004
0,1,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[0, 0]",0,"[np.float64(0.29000000000000004), np.float64(0.29000000000000004)]",0,1,[0.71],[1.],1,0.29000000000000004,0.0,0.0
0,2,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.4257), np.float64(0.0994)]",1,"[np.float64(0.88365), np.float64(-0.6414500000000001)]",0,0,[-0.45795],[-0.145],2,0.12109999999999999,-0.4257,0.0994
0,2,0,State CD,"['D', 'C']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.08120000000000002), np.float64(0.19140000000000004)]",0,"[np.float64(0.3579), np.float64(-0.7523)]",0,1,[0.5609],[-0.21],2,-0.1972,0.08120000000000002,0.19140000000000004
0,2,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.0), np.float64(0.0)]",0,"[np.float64(0.645), np.float64(-0.355)]",0,1,[0.355],[0.5],2,0.14500000000000002,0.0,0.0
0,3,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(-0.08311400000000005), np.float64(-0.16135600000000005)]",0,"[np.float64(0.703725), np.float64(-0.21803299999999992)]",0,1,[-0.620611],[0.4159],3,0.24284600000000006,-0.08311400000000005,-0.16135600000000005
0,3,0,State CD,"['D', 'C']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]","[np.float64(0.18141200000000002), np.float64(-0.305118)]",0,"[np.float64(-0.05407299999999993), np.float64(0.4324570000000001)]",0,1,[0.872661],[0.4391],3,0.18919200000000008,0.18141200000000002,-0.305118
