block_number,trial_number,state_id,stim_id,action,w_values
0,62318,State AG,AG,0,"[np.float64(0.35811344694409575), np.float64(-0.15427341364295402)]"
0,62319,State CB,CB,0,"[np.float64(0.3015499500867455), np.float64(-0.6418865530559043)]"
0,62320,State AN,AN,0,"[np.float64(0.35811344694409575), np.float64(-0.03)]"
0,62321,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
0,62322,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62323,State AN,AN,0,"[np.float64(0.35811344694409575), np.float64(-0.03)]"
0,62324,State HN,HN,1,"[np.float64(-0.8457265863570459), np.float64(-0.03)]"
0,62325,State BF,BF,1,"[np.float64(-0.6418865530559043), np.float64(-0.9673626684804587)]"
0,62326,State AG,AG,0,"[np.float64(0.35811344694409575), np.float64(-0.15427341364295402)]"
0,62327,State AH,AH,0,"[np.float64(0.35811344694409575), np.float64(-0.8457265863570459)]"
0,62328,State EN,EN,0,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62329,State DG,DG,1,"[np.float64(-0.6984500499132545), np.float64(-0.15427341364295402)]"
0,62330,State GH,GH,0,"[np.float64(-0.15427341364295402), np.float64(-0.8457265863570459)]"
0,62331,State EN,EN,0,"[np.float64(0.03263733151954127), np.float64(-0.03)]"
0,62332,State BH,BH,0,"[np.float64(-0.6418865530559043), np.float64(-0.8457265863570459)]"
0,62333,State AH,AH,0,"[np.float64(0.35811344694409575), np.float64(-0.8457265863570459)]"
0,62334,State AH,AH,0,"[np.float64(0.35811344694409575), np.float64(-0.8457265863570459)]"
0,62335,State AB,AB,0,"[np.float64(0.35811344694409575), np.float64(-0.6418865530559043)]"
0,62336,State CN,CN,0,"[np.float64(0.3015499500867455), np.float64(-0.03)]"
0,62337,State DF,DF,0,"[np.float64(-0.6984500499132545), np.float64(-0.9673626684804587)]"
0,62338,State BG,BG,1,"[np.float64(-0.6418865530559043), np.float64(-0.15427341364295402)]"
0,62339,State EH,EH,0,"[np.float64(0.03263733151954127), np.float64(-0.8457265863570459)]"
