block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,q_values,action,prediction_errors,correct_action,accuracy,context_value,context_prediction_errors,trial_total,averaged_pe,q_values1,q_values2
0,12,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]","[np.float64(0.4654251066772723), np.float64(-0.2749051362603664)]",0,"[np.float64(0.03506984431272764), np.float64(-0.22459991274963365)]",0,1,[-0.5000495],[0.00049495],12,-0.094765034218453,0.4654251066772723,-0.2749051362603664
0,12,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.16512861119014682), np.float64(-0.25478963412019967)]",0,"[np.float64(0.2853713892998532), np.float64(-0.2947103653898004)]",0,1,[-0.49505],[-0.0495],12,-0.004669488044973608,0.16512861119014682,-0.25478963412019967
0,11,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]","[np.float64(0.4226745761932236), np.float64(-0.21816306256734377)]",0,"[np.float64(0.07727641885677639), np.float64(-0.2818859423826563)]",0,1,[0.5000049],[-4.900495e-05],11,-0.10230476176293996,0.4226745761932236,-0.21816306256734377
0,12,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]","[np.float64(0.4551306721130697), np.float64(-0.2322573596864766)]",0,"[np.float64(0.044864427391930306), np.float64(-0.2677475408085234)]",0,1,[0.50000049],[-4.900495e-06],12,-0.11144155670829656,0.4551306721130697,-0.2322573596864766
0,13,0,State CD,"['C', 'D']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.006269480441011346), np.float64(0.10268861320619814)]",1,"[np.float64(-0.9886805295084886), np.float64(-1.097638623155698)]",0,0,[0.099495],[-0.99495001],13,-1.0431595763320933,-0.006269480441011346,0.10268861320619814
0,13,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.4739737316176804), np.float64(-0.24564473672690276)]",0,"[np.float64(-0.9739742216671804), np.float64(-0.2543557533225972)]",0,1,[0.05000005],[-0.50000049],13,-0.6141649874948888,0.4739737316176804,-0.24564473672690276
0,13,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]","[np.float64(0.48015444128861795), np.float64(-0.28613513189784806)]",0,"[np.float64(0.019895053810382035), np.float64(-0.21381537300315195)]",0,1,[-0.50000495],[4.9495099e-05],13,-0.09696015959638496,0.48015444128861795,-0.28613513189784806
0,14,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(0.06490455851746468), np.float64(-0.25836252439303264)]",0,"[np.float64(-0.11490460752241466), np.float64(0.20836247538808267)]",0,1,[0.005],[-0.05000005],14,0.046728933932834005,0.06490455851746468,-0.25836252439303264
0,14,0,State CD,"['D', 'C']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]","[np.float64(-0.05570350691643578), np.float64(-0.35831960851919503)]",0,"[np.float64(-0.04379149407851423), np.float64(0.258824607524245)]",0,1,[0.0099495],[-0.099495],14,0.10751655672286539,-0.05570350691643578,-0.35831960851919503
0,13,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[-1, 0]","[np.float64(0.28498459469608517), np.float64(-0.2695251523896897)]",0,"[np.float64(-0.7899345946470852), np.float64(0.7645751524386897)]",0,1,[-0.499505],[-0.00495],13,-0.012679721104197739,0.28498459469608517,-0.2695251523896897
