block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,52184,State FN,FN,"[np.float64(-0.46876311738506926), np.float64(-1.0)]",0,"[np.float64(-0.8238272598182378), np.float64(-1.0)]"
0,52185,State DG,DG,"[np.float64(0.11138190449789284), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.943829336025952), np.float64(0.6572420270534568)]"
0,52186,State CH,CH,"[np.float64(0.7687773405972363), np.float64(-0.7719191873242413)]",1,"[np.float64(0.056170663974048005), np.float64(0.3427579729465432)]"
0,52187,State CN,CN,"[np.float64(0.7687773405972363), np.float64(-1.0)]",0,"[np.float64(0.056170663974048005), np.float64(-1.0)]"
0,52188,State AG,AG,"[np.float64(0.7466441402796394), np.float64(-0.4422979618654166)]",1,"[np.float64(0.0990377091989641), np.float64(0.6572420270534568)]"
0,52189,State BG,BG,"[np.float64(0.07918331322338143), np.float64(-0.4422979618654166)]",1,"[np.float64(-0.900962290801036), np.float64(0.6572420270534568)]"
0,52190,State CH,CH,"[np.float64(0.7687773405972363), np.float64(-0.7719191873242413)]",1,"[np.float64(0.056170663974048005), np.float64(0.3427579729465432)]"
0,52191,State FN,FN,"[np.float64(-0.46876311738506926), np.float64(-1.0)]",1,"[np.float64(-0.8238272598182378), np.float64(-1.0)]"
0,52192,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,52193,State BF,BF,"[np.float64(0.07918331322338143), np.float64(-0.46876311738506926)]",1,"[np.float64(-0.900962290801036), np.float64(-0.8238272598182378)]"
0,52194,State HN,HN,"[np.float64(-0.7719191873242413), np.float64(-1.0)]",0,"[np.float64(0.3427579729465432), np.float64(-1.0)]"
0,52195,State EF,EF,"[np.float64(-0.19168000118639866), np.float64(-0.46876311738506926)]",0,"[np.float64(0.17617274018176232), np.float64(-0.8238272598182378)]"
0,52196,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",0,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,52197,State CN,CN,"[np.float64(0.7687773405972363), np.float64(-1.0)]",0,"[np.float64(0.056170663974048005), np.float64(-1.0)]"
0,52198,State EF,EF,"[np.float64(-0.19168000118639866), np.float64(-0.46876311738506926)]",0,"[np.float64(0.17617274018176232), np.float64(-0.8238272598182378)]"
0,52199,State CG,CG,"[np.float64(0.7687773405972363), np.float64(-0.4422979618654166)]",1,"[np.float64(0.056170663974048005), np.float64(0.6572420270534568)]"
0,52200,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,52201,State CH,CH,"[np.float64(0.7687773405972363), np.float64(-0.7719191873242413)]",0,"[np.float64(0.056170663974048005), np.float64(0.3427579729465432)]"
0,52202,State CG,CG,"[np.float64(0.7687773405972363), np.float64(-0.4422979618654166)]",1,"[np.float64(0.056170663974048005), np.float64(0.6572420270534568)]"
0,52203,State BF,BF,"[np.float64(0.07918331322338143), np.float64(-0.46876311738506926)]",0,"[np.float64(-0.900962290801036), np.float64(-0.8238272598182378)]"
0,52204,State CH,CH,"[np.float64(0.7687773405972363), np.float64(-0.7719191873242413)]",1,"[np.float64(0.056170663974048005), np.float64(0.3427579729465432)]"
0,52205,State GF,GF,"[np.float64(-0.4422979618654166), np.float64(-0.46876311738506926)]",0,"[np.float64(0.6572420270534568), np.float64(-0.8238272598182378)]"
0,52206,State EH,EH,"[np.float64(-0.19168000118639866), np.float64(-0.7719191873242413)]",1,"[np.float64(0.17617274018176232), np.float64(0.3427579729465432)]"
0,52207,State DN,DN,"[np.float64(0.11138190449789284), np.float64(-1.0)]",0,"[np.float64(-0.943829336025952), np.float64(-1.0)]"
0,52208,State BF,BF,"[np.float64(0.07918331322338143), np.float64(-0.46876311738506926)]",1,"[np.float64(-0.900962290801036), np.float64(-0.8238272598182378)]"
0,52209,State BN,BN,"[np.float64(0.07918331322338143), np.float64(-1.0)]",0,"[np.float64(-0.900962290801036), np.float64(-1.0)]"
0,52210,State CB,CB,"[np.float64(0.7687773405972363), np.float64(0.07918331322338143)]",0,"[np.float64(0.056170663974048005), np.float64(-0.900962290801036)]"
0,52211,State BE,BE,"[np.float64(0.07918331322338143), np.float64(-0.19168000118639866)]",1,"[np.float64(-0.900962290801036), np.float64(0.17617274018176232)]"
