block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,60612,State AG,AG,"[np.float64(0.8855927945442413), np.float64(-1.526417481120984e-06)]",0,"[np.float64(-0.2647150168438842), np.float64(0.7096019307036363)]"
0,60613,State AF,AF,"[np.float64(0.8855927945442413), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.6151478304445681)]"
0,60614,State DF,DF,"[np.float64(0.0003115129438178146), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.6151478304445681)]"
0,60615,State CB,CB,"[np.float64(0.9999658335049741), np.float64(0.0048760996606328905)]",0,"[np.float64(0.5113695130327005), np.float64(-0.7352849831561158)]"
0,60616,State EN,EN,"[np.float64(-0.004043940789108044), np.float64(0.42)]",1,"[np.float64(0.3848521695554318), np.float64(0.42)]"
0,60617,State CB,CB,"[np.float64(0.9999658335049741), np.float64(0.0048760996606328905)]",0,"[np.float64(0.5113695130327005), np.float64(-0.7352849831561158)]"
0,60618,State GF,GF,"[np.float64(-1.526417481120984e-06), np.float64(-0.9321015339295111)]",0,"[np.float64(0.7096019307036363), np.float64(-0.6151478304445681)]"
0,60619,State CN,CN,"[np.float64(0.9999658335049741), np.float64(0.42)]",0,"[np.float64(0.5113695130327005), np.float64(0.42)]"
0,60620,State GH,GH,"[np.float64(-1.526417481120984e-06), np.float64(-0.9997208490760702)]",0,"[np.float64(0.7096019307036363), np.float64(-0.29039806929636364)]"
0,60621,State BN,BN,"[np.float64(0.0048760996606328905), np.float64(0.42)]",1,"[np.float64(-0.7352849831561158), np.float64(0.42)]"
0,60622,State CD,CD,"[np.float64(0.9999658335049741), np.float64(0.0003115129438178146)]",0,"[np.float64(0.5113695130327005), np.float64(-0.4886304869672995)]"
0,60623,State DF,DF,"[np.float64(0.0003115129438178146), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.6151478304445681)]"
0,60624,State CF,CF,"[np.float64(0.9999658335049741), np.float64(-0.9321015339295111)]",0,"[np.float64(0.5113695130327005), np.float64(-0.6151478304445681)]"
0,60625,State CB,CB,"[np.float64(0.9999658335049741), np.float64(0.0048760996606328905)]",0,"[np.float64(0.5113695130327005), np.float64(-0.7352849831561158)]"
0,60626,State EN,EN,"[np.float64(-0.004043940789108044), np.float64(0.42)]",1,"[np.float64(0.3848521695554318), np.float64(0.42)]"
0,60627,State BF,BF,"[np.float64(0.0048760996606328905), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.7352849831561158), np.float64(-0.6151478304445681)]"
0,60628,State AG,AG,"[np.float64(0.8855927945442413), np.float64(-1.526417481120984e-06)]",0,"[np.float64(-0.2647150168438842), np.float64(0.7096019307036363)]"
0,60629,State DN,DN,"[np.float64(0.0003115129438178146), np.float64(0.42)]",0,"[np.float64(-0.4886304869672995), np.float64(0.42)]"
0,60630,State DF,DF,"[np.float64(0.0003115129438178146), np.float64(-0.9321015339295111)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.6151478304445681)]"
0,60631,State AE,AE,"[np.float64(0.8855927945442413), np.float64(-0.004043940789108044)]",0,"[np.float64(-0.2647150168438842), np.float64(0.3848521695554318)]"
0,60632,State HN,HN,"[np.float64(-0.9997208490760702), np.float64(0.42)]",1,"[np.float64(-0.29039806929636364), np.float64(0.42)]"
0,60633,State DG,DG,"[np.float64(0.0003115129438178146), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.4886304869672995), np.float64(0.7096019307036363)]"
0,60634,State DH,DH,"[np.float64(0.0003115129438178146), np.float64(-0.9997208490760702)]",0,"[np.float64(-0.4886304869672995), np.float64(-0.29039806929636364)]"
0,60635,State AB,AB,"[np.float64(0.8855927945442413), np.float64(0.0048760996606328905)]",0,"[np.float64(-0.2647150168438842), np.float64(-0.7352849831561158)]"
0,60636,State EN,EN,"[np.float64(-0.004043940789108044), np.float64(0.42)]",0,"[np.float64(0.3848521695554318), np.float64(0.42)]"
0,60637,State CH,CH,"[np.float64(0.9999658335049741), np.float64(-0.9997208490760702)]",0,"[np.float64(0.5113695130327005), np.float64(-0.29039806929636364)]"
0,60638,State BE,BE,"[np.float64(0.0048760996606328905), np.float64(-0.004043940789108044)]",0,"[np.float64(-0.7352849831561158), np.float64(0.3848521695554318)]"
0,60639,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60640,State BG,BG,"[np.float64(0.0048760996606328905), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.7352849831561158), np.float64(0.7096019307036363)]"
0,60641,State AN,AN,"[np.float64(0.8855927945442413), np.float64(0.42)]",0,"[np.float64(-0.2647150168438842), np.float64(0.42)]"
0,60642,State DN,DN,"[np.float64(0.0003115129438178146), np.float64(0.42)]",1,"[np.float64(-0.4886304869672995), np.float64(0.42)]"
0,60643,State DN,DN,"[np.float64(0.0003115129438178146), np.float64(0.42)]",1,"[np.float64(-0.4886304869672995), np.float64(0.42)]"
0,60644,State GF,GF,"[np.float64(-1.526417481120984e-06), np.float64(-0.9321015339295111)]",0,"[np.float64(0.7096019307036363), np.float64(-0.6151478304445681)]"
0,60645,State EF,EF,"[np.float64(-0.004043940789108044), np.float64(-0.9321015339295111)]",0,"[np.float64(0.3848521695554318), np.float64(-0.6151478304445681)]"
0,60646,State DG,DG,"[np.float64(0.0003115129438178146), np.float64(-1.526417481120984e-06)]",1,"[np.float64(-0.4886304869672995), np.float64(0.7096019307036363)]"
0,60647,State GN,GN,"[np.float64(-1.526417481120984e-06), np.float64(0.42)]",1,"[np.float64(0.7096019307036363), np.float64(0.42)]"
