block_number,trial_number,state_id,stim_id,action,w_values
0,84236,State AG,AG,1,"[np.float64(-0.7145379468733382), np.float64(0.02752692589374638)]"
0,84237,State GH,GH,0,"[np.float64(0.02752692589374638), np.float64(-0.9724730741062536)]"
0,84238,State GN,GN,0,"[np.float64(0.02752692589374638), np.float64(-0.52)]"
0,84239,State AF,AF,0,"[np.float64(-0.7145379468733382), np.float64(-0.9102249610917539)]"
0,84240,State CN,CN,0,"[np.float64(0.029401739911131153), np.float64(-0.52)]"
0,84241,State BH,BH,0,"[np.float64(0.28546205312666184), np.float64(-0.9724730741062536)]"
0,84242,State CF,CF,0,"[np.float64(0.029401739911131153), np.float64(-0.9102249610917539)]"
0,84243,State EF,EF,0,"[np.float64(0.0897750389082461), np.float64(-0.9102249610917539)]"
0,84244,State BE,BE,0,"[np.float64(0.28546205312666184), np.float64(0.0897750389082461)]"
0,84245,State AF,AF,0,"[np.float64(-0.7145379468733382), np.float64(-0.9102249610917539)]"
0,84246,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84247,State EN,EN,0,"[np.float64(0.0897750389082461), np.float64(-0.52)]"
0,84248,State CD,CD,0,"[np.float64(0.029401739911131153), np.float64(-0.9705982600888688)]"
0,84249,State AD,AD,0,"[np.float64(-0.7145379468733382), np.float64(-0.9705982600888688)]"
0,84250,State CB,CB,1,"[np.float64(0.029401739911131153), np.float64(0.28546205312666184)]"
0,84251,State CG,CG,1,"[np.float64(0.029401739911131153), np.float64(0.02752692589374638)]"
0,84252,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84253,State AE,AE,1,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84254,State DN,DN,1,"[np.float64(-0.9705982600888688), np.float64(-0.52)]"
0,84255,State DE,DE,1,"[np.float64(-0.9705982600888688), np.float64(0.0897750389082461)]"
0,84256,State EF,EF,0,"[np.float64(0.0897750389082461), np.float64(-0.9102249610917539)]"
0,84257,State AN,AN,0,"[np.float64(-0.7145379468733382), np.float64(-0.52)]"
0,84258,State AE,AE,1,"[np.float64(-0.7145379468733382), np.float64(0.0897750389082461)]"
0,84259,State BE,BE,1,"[np.float64(0.28546205312666184), np.float64(0.0897750389082461)]"
0,84260,State DG,DG,1,"[np.float64(-0.9705982600888688), np.float64(0.02752692589374638)]"
0,84261,State HN,HN,1,"[np.float64(-0.9724730741062536), np.float64(-0.52)]"
0,84262,State DH,DH,1,"[np.float64(-0.9705982600888688), np.float64(-0.9724730741062536)]"
0,84263,State DF,DF,0,"[np.float64(-0.9705982600888688), np.float64(-0.9102249610917539)]"
