block_number,trial_number,state_index,state_id,stim_id,context,feedback,probabilities,rewards,action,prediction_errors,correct_action,accuracy,w_values,v_values,trial_total,averaged_pe,w_values1,w_values2
0,10,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]",1,"[np.float64(-0.6203168348269095), np.float64(0.37968316517309053)]",0,0,[-0.94652079 -0.05347921],[np.float64(0.6203168348269095)],10,-0.12031683482690947,-0.9465207929346922,-0.053479207065307836
0,9,0,State AB,"['A', 'B']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.917404722199), np.float64(-0.917404722199)]",0,1,[ 0.39845052 -0.60154948],[np.float64(0.917404722199)],9,-0.917404722199,0.39845051710775997,-0.60154948289224
0,9,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",1,"[np.float64(0.93234799), np.float64(-0.06765200999999998)]",0,0,[-0.44136307 -0.55863693],[np.float64(-0.93234799)],9,0.43234799,-0.44136307136086433,-0.5586369286391357
0,10,0,State AB,"['B', 'A']",Reward,"[0.0, 0.0]","['75', '25']","[0, 0]",0,"[np.float64(-0.46787640832149), np.float64(-0.46787640832149)]",0,1,[-0.19966293 -0.80033707],[np.float64(0.46787640832149)],10,-0.46787640832149,-0.19966293226771448,-0.8003370677322855
0,9,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.9956026876785301), np.float64(-0.9956026876785301)]",0,1,[ 0.03748018 -0.96251982],[np.float64(-0.004397312321469901)],9,-0.9956026876785301,0.03748017897418812,-0.9625198210258118
0,10,0,State GH,"['G', 'H']",Loss Avoid,"[-10.0, -10.0]","['25', '75']","[-1, -1]",0,"[np.float64(-0.5077573707160503), np.float64(-0.5077573707160503)]",0,1,[-0.30225649 -0.69774351],[np.float64(-0.49224262928394963)],10,-0.5077573707160503,-0.30225649235144986,-0.6977435076485501
0,10,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.9654974749), np.float64(-0.03450252509999996)]",0,1,[ 0.31120472 -0.68879528],[np.float64(-0.9654974749)],10,0.46549747490000004,0.311204715639274,-0.6887952843607261
0,11,0,State EF,"['F', 'E']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.49240371219900003), np.float64(-0.507596287801)]",0,1,[ 0.60020217 -0.39979783],[np.float64(-0.49240371219900003)],11,-0.007596287800999968,0.6002021735315201,-0.39979782646847994
0,11,0,State GH,"['H', 'G']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.7410437409348143), np.float64(0.7410437409348143)]",0,1,[-0.39249162 -0.60750838],[np.float64(-0.7410437409348143)],11,0.7410437409348143,-0.3924916171755215,-0.6075083828244785
0,11,0,State CD,"['C', 'D']",Reward,"[0.0, 10.0]","['75', '25']","[0, 1]",1,"[np.float64(-0.8063615857617238), np.float64(0.1936384142382762)]",0,0,[-0.852469  0.147531],[np.float64(0.8063615857617238)],11,-0.3063615857617238,-0.8524689973209505,0.1475310026790495
0,12,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.3779323078767553), np.float64(0.3779323078767553)]",0,1,[ 0.83943143 -0.16056857],[np.float64(-0.3779323078767553)],12,0.3779323078767553,0.8394314254637272,-0.16056857453627282
0,11,0,State AB,"['A', 'B']",Reward,"[10.0, 0.0]","['75', '25']","[1, 0]",0,"[np.float64(0.76138303175604), np.float64(-0.23861696824395992)]",0,1,[-0.3290881 -0.6709119],[np.float64(0.23861696824395992)],11,0.26138303175604005,-0.32908810229651736,-0.6709118977034827
0,12,0,State AB,"['B', 'A']",Reward,"[0.0, 10.0]","['75', '25']","[1, 0]",0,"[np.float64(0.38830534619558044), np.float64(-0.6116946538044196)]",0,1,[ 0.24169659 -0.75830341],[np.float64(0.6116946538044196)],12,-0.11169465380441956,0.2416965892110806,-0.7583034107889195
0,12,0,State CD,"['D', 'C']",Reward,"[10.0, 0.0]","['75', '25']","[0, 1]",1,"[np.float64(-0.9012444087384791), np.float64(0.09875559126152089)]",0,0,[-0.83059363  0.16940637],[np.float64(0.9012444087384791)],12,-0.4012444087384791,-0.8305936280774752,0.16940637192252486
0,12,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.25112589322149004), np.float64(-0.74887410677851)]",0,1,[ 0.5557784 -0.4442216],[np.float64(-0.25112589322149004)],12,-0.24887410677850996,0.5557783950683036,-0.44422160493169643
0,13,0,State GH,"['G', 'H']",Loss Avoid,"[0.0, -10.0]","['25', '75']","[0, -1]",0,"[np.float64(0.1927454770171452), np.float64(-0.8072545229828548)]",0,1,[0.89716535 0.10283465],[np.float64(-0.1927454770171452)],13,-0.3072545229828548,0.8971653486178642,0.10283465138213568
0,13,0,State EF,"['F', 'E']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.12807420554295992), np.float64(0.12807420554295992)]",0,1,[ 0.42487791 -0.57512209],[np.float64(-0.12807420554295992)],13,0.12807420554295992,0.42487790612405146,-0.5751220938759485
0,13,0,State AB,"['A', 'B']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.198035726559746), np.float64(0.198035726559746)]",0,1,[ 0.30850954 -0.69149046],[np.float64(0.801964273440254)],13,0.198035726559746,0.3085095449674152,-0.6914904550325849
0,14,0,State AB,"['B', 'A']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",0,"[np.float64(0.10099822054547047), np.float64(0.10099822054547047)]",0,1,[ 0.46312347 -0.53687653],[np.float64(0.8990017794545295)],14,0.10099822054547047,0.4631234690958293,-0.5368765309041709
0,14,0,State GH,"['H', 'G']",Loss Avoid,"[-10.0, 0.0]","['25', '75']","[0, -1]",0,"[np.float64(0.09830019327874405), np.float64(-0.9016998067212559)]",0,1,[ 0.66920285 -0.33079715],[np.float64(-0.09830019327874405)],14,-0.40169980672125594,0.6692028487743049,-0.3307971512256951
0,13,0,State CD,"['C', 'D']",Reward,"[10.0, 10.0]","['75', '25']","[1, 1]",1,"[np.float64(0.050365351543375625), np.float64(0.050365351543375625)]",0,0,[-0.86036864  0.13963136],[np.float64(0.9496346484566244)],13,0.050365351543375625,-0.8603686432343471,0.13963135676565286
0,14,0,State EF,"['E', 'F']",Loss Avoid,"[0.0, 0.0]","['25', '75']","[0, 0]",0,"[np.float64(0.06531784482690957), np.float64(0.06531784482690957)]",0,1,[ 0.52471249 -0.47528751],[np.float64(-0.06531784482690957)],14,0.06531784482690957,0.5247124858078237,-0.4752875141921764
