,QLearning,ActorCritic,Relative,Hybrid2012+bias,Hybrid2021+bias+decay,best_model
chronic pain,52933.2805781222,61847.7849155335,56386.76917039372,50008.87625160059,78824.24347626184,Hybrid2012+bias
acute pain,43106.32448337886,48707.39329317064,44821.55188922057,40225.380847151166,58975.49050865922,Hybrid2012+bias
no pain,55439.98031740997,66920.07579566867,64487.417082625005,53414.869045151325,86297.13551709213,Hybrid2012+bias
full,151469.58537891106,177461.2540043728,165681.73814223928,143619.12614390306,224058.8695020132,Hybrid2012+bias
