,QLearning,ActorCritic,Relative,Hybrid2012+bias,Hybrid2021+bias+decay,best_model
chronic pain,52960.08845823829,61883.5287556883,56422.51301054852,50080.363931910186,78913.60307664883,Hybrid2012+bias
acute pain,43132.243566046534,48741.95207006086,44856.1106661108,40294.49840093162,59061.88745088479,Hybrid2012+bias
no pain,55467.05776651344,66956.17906113996,64523.52034809629,53487.0755760939,86387.39368077034,Hybrid2012+bias
full,151509.50106320233,177511.1486097369,165731.63274760338,143708.93643355844,224168.6376338142,Hybrid2012+bias
