block_number,trial_number,state_id,stim_id,q_values,action,w_values
0,7218,State DN,DN,"[np.float64(0.0008823476819844198), np.float64(-0.41)]",1,"[np.float64(-0.9372853842942364), np.float64(-0.41)]"
0,7219,State EF,EF,"[np.float64(-0.28480838855366364), np.float64(-0.8180914945321489)]",0,"[np.float64(-0.007000926589146109), np.float64(-0.9929990734108538)]"
0,7220,State AB,AB,"[np.float64(0.7208940821197858), np.float64(0.5524065672864904)]",0,"[np.float64(0.18353753190175304), np.float64(-0.816462468098247)]"
0,7221,State CF,CF,"[np.float64(0.7670145339926397), np.float64(-0.8180914945321489)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9929990734108538)]"
0,7222,State AB,AB,"[np.float64(0.7208940821197858), np.float64(0.5524065672864904)]",0,"[np.float64(0.18353753190175304), np.float64(-0.816462468098247)]"
0,7223,State DF,DF,"[np.float64(0.0008823476819844198), np.float64(-0.8180914945321489)]",0,"[np.float64(-0.9372853842942364), np.float64(-0.9929990734108538)]"
0,7224,State CE,CE,"[np.float64(0.7670145339926397), np.float64(-0.28480838855366364)]",0,"[np.float64(0.06271461570576368), np.float64(-0.007000926589146109)]"
0,7225,State CD,CD,"[np.float64(0.7670145339926397), np.float64(0.0008823476819844198)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9372853842942364)]"
0,7226,State FN,FN,"[np.float64(-0.8180914945321489), np.float64(-0.41)]",1,"[np.float64(-0.9929990734108538), np.float64(-0.41)]"
0,7227,State DG,DG,"[np.float64(0.0008823476819844198), np.float64(-0.1127463710714964)]",1,"[np.float64(-0.9372853842942364), np.float64(0.01646366639660984)]"
0,7228,State FN,FN,"[np.float64(-0.8180914945321489), np.float64(-0.41)]",1,"[np.float64(-0.9929990734108538), np.float64(-0.41)]"
0,7229,State CD,CD,"[np.float64(0.7670145339926397), np.float64(0.0008823476819844198)]",0,"[np.float64(0.06271461570576368), np.float64(-0.9372853842942364)]"
