block_number,trial_number,state_id,stim_id,action,w_values
0,42240,State CN,CN,0,"[np.float64(-0.010740201907916226), np.float64(-0.86)]"
0,42241,State BG,BG,1,"[np.float64(-0.649176221519601), np.float64(-0.4407328917507494)]"
0,42242,State BH,BH,0,"[np.float64(-0.649176221519601), np.float64(-0.5592671082492505)]"
0,42243,State BN,BN,0,"[np.float64(-0.649176221519601), np.float64(-0.86)]"
0,42244,State GF,GF,0,"[np.float64(-0.4407328917507494), np.float64(-0.9175111468280897)]"
0,42245,State BN,BN,0,"[np.float64(-0.649176221519601), np.float64(-0.86)]"
0,42246,State CG,CG,0,"[np.float64(-0.010740201907916226), np.float64(-0.4407328917507494)]"
0,42247,State GH,GH,0,"[np.float64(-0.4407328917507494), np.float64(-0.5592671082492505)]"
0,42248,State GF,GF,0,"[np.float64(-0.4407328917507494), np.float64(-0.9175111468280897)]"
0,42249,State AH,AH,0,"[np.float64(0.3508237784803989), np.float64(-0.5592671082492505)]"
0,42250,State BH,BH,0,"[np.float64(-0.649176221519601), np.float64(-0.5592671082492505)]"
0,42251,State AF,AF,0,"[np.float64(0.3508237784803989), np.float64(-0.9175111468280897)]"
0,42252,State DG,DG,1,"[np.float64(-0.9892597980920838), np.float64(-0.4407328917507494)]"
0,42253,State EN,EN,0,"[np.float64(0.08248885317191032), np.float64(-0.86)]"
0,42254,State CE,CE,1,"[np.float64(-0.010740201907916226), np.float64(0.08248885317191032)]"
0,42255,State AD,AD,0,"[np.float64(0.3508237784803989), np.float64(-0.9892597980920838)]"
0,42256,State AN,AN,0,"[np.float64(0.3508237784803989), np.float64(-0.86)]"
0,42257,State DF,DF,1,"[np.float64(-0.9892597980920838), np.float64(-0.9175111468280897)]"
0,42258,State DN,DN,0,"[np.float64(-0.9892597980920838), np.float64(-0.86)]"
0,42259,State CN,CN,0,"[np.float64(-0.010740201907916226), np.float64(-0.86)]"
0,42260,State BH,BH,1,"[np.float64(-0.649176221519601), np.float64(-0.5592671082492505)]"
0,42261,State EN,EN,0,"[np.float64(0.08248885317191032), np.float64(-0.86)]"
