,QLearning,ActorCritic,Relative,Hybrid2012+bias,Hybrid2021+bias+decay,best_model
chronic pain,50559.13364872802,49855.26730785944,45917.33316398513,41925.33442570942,41460.19630990946,Hybrid2021+bias+decay
acute pain,41814.747896464316,41375.028644543774,38559.77539325867,35331.91645716337,35030.388759466856,Hybrid2021+bias+decay
no pain,53211.49393150867,53404.281183900544,49950.090914166845,45560.38506701996,45313.843768319464,Hybrid2021+bias+decay
full,145575.37547670098,144620.57713630376,134413.19947141065,122787.63594989275,121766.42883769578,Hybrid2021+bias+decay
