,QLearning,ActorCritic,Relative,Hybrid2012+bias,Hybrid2021+bias+decay,best_model
chronic pain,50585.941528844116,49891.01114801424,45953.07700413993,41996.82210601902,41549.555910296454,Hybrid2021+bias+decay
acute pain,41840.66697913199,41409.587421434,38594.3341701489,35401.03401094382,35116.785701692424,Hybrid2021+bias+decay
no pain,53238.571380612135,53440.38444937183,49986.19417963813,45632.591597962535,45404.10193199768,Hybrid2021+bias+decay
full,145615.29116099226,144670.47174166786,134463.09407677475,122877.44623954811,121876.19696949678,Hybrid2021+bias+decay
