block_number,trial_number,state_id,stim_id,action,w_values
0,31960,State DF,DF,1,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31961,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,31962,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,31963,State AH,AH,0,"[np.float64(-0.036810946262702614), np.float64(-0.5364514007194346)]"
0,31964,State DF,DF,0,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31965,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,31966,State GF,GF,0,"[np.float64(0.46354859928056535), np.float64(-0.8845177876024934)]"
0,31967,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,31968,State BE,BE,1,"[np.float64(-0.9631890537372975), np.float64(0.11548221239750663)]"
0,31969,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,31970,State GN,GN,0,"[np.float64(0.46354859928056535), np.float64(-0.15)]"
0,31971,State BH,BH,1,"[np.float64(-0.9631890537372975), np.float64(-0.5364514007194346)]"
0,31972,State DG,DG,1,"[np.float64(-0.8499725111009115), np.float64(0.46354859928056535)]"
0,31973,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,31974,State DF,DF,0,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31975,State AF,AF,0,"[np.float64(-0.036810946262702614), np.float64(-0.8845177876024934)]"
0,31976,State DH,DH,1,"[np.float64(-0.8499725111009115), np.float64(-0.5364514007194346)]"
0,31977,State CG,CG,1,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,31978,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,31979,State EH,EH,0,"[np.float64(0.11548221239750663), np.float64(-0.5364514007194346)]"
0,31980,State CG,CG,1,"[np.float64(0.15002748889908846), np.float64(0.46354859928056535)]"
0,31981,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,31982,State DE,DE,1,"[np.float64(-0.8499725111009115), np.float64(0.11548221239750663)]"
0,31983,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,31984,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,31985,State GH,GH,0,"[np.float64(0.46354859928056535), np.float64(-0.5364514007194346)]"
0,31986,State AE,AE,0,"[np.float64(-0.036810946262702614), np.float64(0.11548221239750663)]"
0,31987,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
0,31988,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,31989,State AD,AD,0,"[np.float64(-0.036810946262702614), np.float64(-0.8499725111009115)]"
0,31990,State CH,CH,0,"[np.float64(0.15002748889908846), np.float64(-0.5364514007194346)]"
0,31991,State EN,EN,0,"[np.float64(0.11548221239750663), np.float64(-0.15)]"
0,31992,State DN,DN,1,"[np.float64(-0.8499725111009115), np.float64(-0.15)]"
0,31993,State AB,AB,0,"[np.float64(-0.036810946262702614), np.float64(-0.9631890537372975)]"
0,31994,State BG,BG,1,"[np.float64(-0.9631890537372975), np.float64(0.46354859928056535)]"
0,31995,State DF,DF,0,"[np.float64(-0.8499725111009115), np.float64(-0.8845177876024934)]"
0,31996,State AG,AG,0,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,31997,State AG,AG,1,"[np.float64(-0.036810946262702614), np.float64(0.46354859928056535)]"
0,31998,State CB,CB,0,"[np.float64(0.15002748889908846), np.float64(-0.9631890537372975)]"
0,31999,State BE,BE,1,"[np.float64(-0.9631890537372975), np.float64(0.11548221239750663)]"
0,32000,State CF,CF,0,"[np.float64(0.15002748889908846), np.float64(-0.8845177876024934)]"
0,32001,State CD,CD,0,"[np.float64(0.15002748889908846), np.float64(-0.8499725111009115)]"
